study_ref_id,biodist_type,animal_model,cell_lines,dosage_symbols,dosage_value,dosage_unit,detection_time,metabolism,excretion,tumor_retention_time,tbr_tumor_blood,tbr_tumor_muscle,tbr_tumor_kidney,tbr_tumor_salivary_glands,tbr_tumor_liver,tbr_tumor_lung,tbr_tumor_heart,biodist_result_image,biodist_description,created_at,updated_at
BIO00100,Ex vivo biodistribution,SCID mice were subcutaneously injected into the right flank with H2009 or MDA-MB-231 cells,H2009 or MDA-MB-231 cells,=,3,MBq,10min,Rapid blood clearance and tumor enrichment,"Mainly excreted through the kidneys, with minimal gastrointestinal interference",＞3h,1.45,,,,,,,BIOR00100,"⁶⁸Ga-D0103 demonstrates highly targeted tumor uptake mediated by avβ6 integrin binding with sustained retention; controlled renal excretion via gelofusine-assisted protection; and favorable background pharmacokinetics characterized by low retention in liver, muscle, and blood pool.",,
BIO00100,Ex vivo biodistribution,SCID mice were subcutaneously injected into the right flank with H2009 or MDA-MB-231 cells,H2009 or MDA-MB-231 cells,=,3,MBq,30min,Rapid blood clearance and tumor enrichment,"Mainly excreted through the kidneys, with minimal gastrointestinal interference",＞3h,6.8,,,,,,,BIOR00100,"⁶⁸Ga-D0103 demonstrates highly targeted tumor uptake mediated by avβ6 integrin binding with sustained retention; controlled renal excretion via gelofusine-assisted protection; and favorable background pharmacokinetics characterized by low retention in liver, muscle, and blood pool.",,
BIO00100,Ex vivo biodistribution,SCID mice were subcutaneously injected into the right flank with H2009 or MDA-MB-231 cells,H2009 or MDA-MB-231 cells,=,3,MBq,90min,Rapid blood clearance and tumor enrichment,"Mainly excreted through the kidneys, with minimal gastrointestinal interference",＞3h,37,,,,,,,BIOR00100,"⁶⁸Ga-D0103 demonstrates highly targeted tumor uptake mediated by avβ6 integrin binding with sustained retention; controlled renal excretion via gelofusine-assisted protection; and favorable background pharmacokinetics characterized by low retention in liver, muscle, and blood pool.",,
BIO00100,Ex vivo biodistribution,SCID mice were subcutaneously injected into the right flank with H2009 or MDA-MB-231 cells,H2009 or MDA-MB-231 cells,=,3,MBq,180min,Rapid blood clearance and tumor enrichment,"Mainly excreted through the kidneys, with minimal gastrointestinal interference",＞3h,124,,,,,,,BIOR00100,"⁶⁸Ga-D0103 demonstrates highly targeted tumor uptake mediated by avβ6 integrin binding with sustained retention; controlled renal excretion via gelofusine-assisted protection; and favorable background pharmacokinetics characterized by low retention in liver, muscle, and blood pool.",,
BIO00101,Imaging,SCID mice were subcutaneously injected into the right flank with H2009 or MDA-MB-231 cells,H2009 or MDA-MB-231 cells,=,15-20,MBq,30min,Rapid blood clearance and tumor enrichment,"Mainly excreted through the kidneys, with minimal gastrointestinal interference",＞3h,,,,,,,,BIOR00101,"⁶⁸Ga-D0103 demonstrates highly targeted tumor uptake mediated by avβ6 integrin binding with sustained retention; controlled renal excretion via gelofusine-assisted protection; and favorable background pharmacokinetics characterized by low retention in liver, muscle, and blood pool.",,
BIO00101,Imaging,SCID mice were subcutaneously injected into the right flank with H2009 or MDA-MB-231 cells,H2009 or MDA-MB-231 cells,=,15-20,MBq,90min,Rapid blood clearance and tumor enrichment,"Mainly excreted through the kidneys, with minimal gastrointestinal interference",＞3h,,,,,,,,BIOR00101,"⁶⁸Ga-D0103 demonstrates highly targeted tumor uptake mediated by avβ6 integrin binding with sustained retention; controlled renal excretion via gelofusine-assisted protection; and favorable background pharmacokinetics characterized by low retention in liver, muscle, and blood pool.",,
BIO00101,Imaging,SCID mice were subcutaneously injected into the right flank with H2009 or MDA-MB-231 cells,H2009 or MDA-MB-231 cells,=,15-20,MBq,180min,Rapid blood clearance and tumor enrichment,"Mainly excreted through the kidneys, with minimal gastrointestinal interference",＞3h,,,,,,,,BIOR00101,"⁶⁸Ga-D0103 demonstrates highly targeted tumor uptake mediated by avβ6 integrin binding with sustained retention; controlled renal excretion via gelofusine-assisted protection; and favorable background pharmacokinetics characterized by low retention in liver, muscle, and blood pool.",,
BIO00102,Ex vivo biodistribution,"In SCID mice, human lung adenocarcinoma cell line H2009  cell line was subcutaneously transplanted into the right shoulder",human lung adenocarcinoma cell line H2009  cell,=,3,MBq,90min(H2009),Rapid blood clearance and tumor enrichment,Mainly excreted through the kidneys,>  90min,7.5±1.7,7.5 ± 1.7,0.1 ± 0.0,,10.5 ± 2.2,1.8 ± 0.6,13.2 ± 3.1,BIOR00102,"Tumor specific high uptake; The highest uptake by the kidneys; Moderate uptake is present in the stomach, spleen, and lungs; Low uptake in other non target organs",,
BIO00103,Ex vivo biodistribution,"In SCID mice, human lung adenocarcinoma cell line H2009  cell line was subcutaneously transplanted into the right shoulder",human lung adenocarcinoma cell line H2009  cell,=,3,MBq,90min(MDA-MB-231),Rapid blood clearance and tumor enrichment,Mainly excreted through the kidneys,>  90min,1.0 ± 0.2,2.2 ± 1.0,0.0 ± 0.0,,1.0 ± 0.2,0.2 ± 0.0,2.1 ± 0.4,BIOR00103,"Tumor specific high uptake; The highest uptake by the kidneys; Moderate uptake is present in the stomach, spleen, and lungs; Low uptake in other non target organs",,
BIO00104,Ex vivo biodistribution,Subcutaneous injection of U87MG tumor cells into the right thigh or upper abdomen of nude mice,U87MG tumor cells,=,0.37,MBq,1h,,Mainly excreted through the kidneys,＞ 72h,,,,,,,,,,,
