drug_id,drug_name,drug_synonyms,status,type,main_pubmed,main_doi,smiles,structure_image,chebi_id,pubchem_cid,pubchem_sid,moa,radiochemical_method_description,radiochemical_yield,radiochemical_purity,specific_activity,created_at,updated_at
RDC00030,[99mTc]Tc-FAPi ,99mTc-FAPi,Preclinical,Diagnosis,38695960,10.1186/s41181-024-00264-0,,,,,,"[99mTc]Tc-FAPi is a 99mTc-labeled fibroblast activation protein inhibitor that targets FAP for SPECT diagnostic imaging to facilitate the staging and assessment of various solid tumors, including lung, pancreatic, and breast cancers.",,,,,,
RDC00031,[68Ga]Ga-FAPI-02,68ga-fapi;Fapi-2 ga-68,Preclinical,Diagnosis,29626120,10.2967/jnumed.118.210435,,,CHEMBL4650356,,,"[68Ga]Ga-FAPI-02 is a 68Ga-labeled fibroblast activation protein inhibitor that targets FAP for PET/CT diagnostic imaging, widely utilized for early staging and metastasis evaluation of various solid tumors, such as gastrointestinal, lung, and breast cancers.",,,,,,
RDC00032,[177Lu]Lu-EB-FAPI,177Lu-LNC1004,Phase 1,Treatment,37801296,10.1158/1078-0432.CCR-23-1983,,,,,,"[177Lu]Lu-EB-FAPI (177Lu-LNC1004) is a 177Lu-labeled fibroblast activation protein inhibitor modified with an Evans Blue (EB) moiety, that targets FAP for targeted radionuclide therapy of various advanced solid tumors, including thyroid and nasopharyngeal cancers.",,,,,,
RDC00033,[90Y]Y-FAPI-46,Yttrium-90 FAPI-46;90Y-DOTA-FAPI-46,Preclinical,Treatment,37030981,10.1016/j.cpet.2023.02.007,O=C1[C@@H](C[C@H](N1)C(N2[C@@H](CC(F)(C2)F)C#N)=O)CC(N3CC4=C(C3)C=CC=C4CN5N=NC(C6=CC=C(C=C6)C(NCCNC(CCOCCOCCOCCOCCOCCOCCNC(C[N]78CC[N]9(C%10)CC[N]%11(CC(O%12)=O)CC[N@@]%13(CC(O[90Y+3]8%13%119%12OC%10=O)=O)CC7)=O)=O)=O)=C5)=O,DSTR00033,,,,"[90Y]Y-FAPI-46 is a 90Y-labeled fibroblast activation protein inhibitor that targets FAP to deliver high-energy Beta (β-) particles for targeted radionuclide therapy, primarily used for the internal radiation ablation of sarcomas, pancreatic cancer, and advanced metastatic solid tumors.",,,,,,
RDC00034,[177Lu]Lu-FAP6-IP-DOTA,177Lu-DOTA-FAP-IP,Preclinical,Treatment,37116911,10.2967/jnumed.122.264494,O=C1[C@H](CC(N2CC3=C(C=CC=C3CN4N=NC(COCCOCCOCCOCCOCCOCCNC([C@H](CCCCNC(CCCC5=CC=C(I)C=C5)=O)NC(C[N@]67CC[N]89CC(O[177Lu+3]86%10%11%12[N](CC(O%12)=O)(CC7)CC[N](CC(O%11)=O)%10CC9)=O)=O)=O)=C4)C2)=O)C[C@@H](C(N%13[C@H](C#N)CC(C%13)(F)F)=O)N1,DSTR00034,,,,"[177Lu]Lu-FAP6-IP-DOTA is a 177Lu-labeled fibroblast activation protein inhibitor integrated with an albumin-binding lipophilic (IP) moiety, that targets FAP for targeted radionuclide therapy using Beta (β-) particles, primarily indicated for advanced solid tumors such as head and neck squamous cell carcinoma, lung, and gastrointestinal cancers.",,,,,,
RDC00035,[177Lu]Lu-FAP6-DOTA,177Lu-FAP6;Lu-177-DOTA-FAP6,Preclinical,Treatment,37116911,10.2967/jnumed.122.264494,O=C1[C@@H](C[C@H](N1)C(N2[C@@H](CC(F)(C2)F)C#N)=O)CC(N3CC4=C(C3)C=CC=C4CN5N=NC(C6=CC=C(C=C6)C(NCCNC(CCOCCOCCOCCOCCOCCOCCNC(C[N]78CC[N]9(CC(O%10)=O)CC[N]%11(CC(O%12)=O)CC[N@@]%13(CC(O[177Lu+3]89%11%13%10%12C)=O)CC7)=O)=O)=O)=C5)=O,DSTR00035,,,,"[177Lu]Lu-FAP6-DOTA is a therapeutic radioligand labeled with the beta-emitting radionuclide lutetium-177 (¹⁷⁷Lu) that targets fibroblast activation protein (FAP) for targeted radiotherapy of FAP-positive solid tumors, exerting its anti-tumor effect by specifically binding to FAP-overexpressing cancer-associated fibroblasts in the tumor microenvironment and delivering localized radiation to kill tumor cells。",,,,,,
RDC00036,[177Lu]Lu-DOTA-4P（FAPI）,177Lu-FAPI-4P;177Lu-DOTA-Linker-FAPI,Preclinical,Treatment,37321827,10.2967/jnumed.123.265599,O=C(CCC(NCCOCCOCCOCC(N1CCN(CC1)CCCN(C2=CC3=C(C=C2)N=CC=C3C(NCCN4CC(F)(C[C@@]4([H])C#N)F)=O)C)=O)=O)N[C@@H](CCCCNC(CCC(NCCOCCOCCOCC(N5CCN(CC5)CCCN(C6=CC7=C(C=C6)N=CC=C7C(NCCN8CC(F)(C[C@@]8([H])C#N)F)=O)C)=O)=O)=O)C(NCCCCC(C(NCCOCCOCCOCC(N9CCN(CC9)CCCN(C%10=CC%11=C(C=C%10)N=CC=C%11C(NCCN%12CC(F)(C[C@@]%12([H])C#N)F)=O)C)=O)=O)NC(C(CCCCNC(C[N@]%13%14CC[N]%15%16CC(O[177Lu+3]%15%13%17%18%19[N](CC(O%17)=O)(CC[N](CC%14)%18CC(O%19)=O)CC%16)=O)=O)NC(CCC(NCCOCCOCCOCC(N%20CCN(CC%20)CCCN(C%21=CC%22=C(C=C%21)N=CC=C%22C(NCCN%23CC(F)(C[C@@]%23([H])C#N)F)=O)C)=O)=O)=O)=O)=O,DSTR00036,,,,"[177Lu]Lu-DOTA-4P-FAPI is a 177Lu-labeled fibroblast activation protein inhibito modified with a PEG4 (4P) linker, that targets FAP for Beta (β-) radionuclide therapy, primarily indicated for the debulking and palliative treatment of various advanced metastatic solid tumors, such as pancreatic cancer and sarcomas.",,,,,,
RDC00037,[177Lu]Lu-DOTA-2P(FAPI)2,177Lu-FAPI-2P-Dimer;177Lu-DOTA-bis-FAPI,Preclinical,Treatment,37321827,10.2967/jnumed.123.265599,,,,,,"[177Lu]Lu-DOTA-2P(FAPI)2 is a 177Lu-labeled dimeric fibroblast activation protein inhibitor, complexed via the DOTA chelator, that targets FAP for Beta (β-) therapy; its dimeric structure and PEG2 (2P) linker significantly enhance tumor uptake and retention in solid tumors like gastric, esophageal, and sarcomas.",,,,,,
RDC00038,[99mTc]Tc-6-1,99mTc-FAPI-46-Gly-Asp-Asp,Preclinical,Diagnosis,38320123,10.1021/acs.jmedchem.4c00031,,,,,,"[99mTc]Tc-6-1 is a radiopharmaceutical consisting of the 6-1 peptide labeled with the radionuclide Technetium-99m, which targets the FAP overexpressed on tumor cells for the SPECT diagnosis and staging of malignant tumors",,,,,,
RDC00039,[99mTc]Tc-6-2,99mTc-FAPI-46-Gly-Glu-Glu,Preclinical,Diagnosis,38320123,10.1021/acs.jmedchem.4c00031,,,,,,"[99mTc]Tc-6-2 is a radiopharmaceutical comprising the 6-2 peptide labeled with the radionuclide Technetium-99m, which functions by specifically targeting FAP overexpressed in tumor angiogenesis for the SPECT diagnosis and imaging of solid tumors",,,,,,
