study_id,drug_id,pmid,doi,created_at,updated_at
BIO00100,RDC00100,40540027,10.1007/s00259-025-07408-7,,
BIO00101,RDC00100,40540027,10.1007/s00259-025-07408-7,,
BIO00102,RDC00101,34559266,10.1007/s00259-021-05559-x,,
BIO00103,RDC00101,34559266,10.1007/s00259-021-05559-x,,
BIO00104,RDC00102,21247151,10.1021/mp100403y,,
BIO00147,RDC00102,21247151,10.1021/mp100403y,,
BIO00105,RDC00103,21247151,10.1021/mp100403y,,
BIO00106,RDC00104,21247151,10.1021/mp100403y,,
BIO00107,RDC00105,21247151,10.1021/mp100403y,,
BIO00148,RDC00105,21247151,10.1021/mp100403y,,
BIO00108,RDC00106,40083181,10.1021/acs.jmedchem.4c03007,,
BIO00109,RDC00106,40083181,10.1021/acs.jmedchem.4c03007,,
BIO00110,RDC00107,40083181,10.1021/acs.jmedchem.4c03007,,
BIO00111,RDC00107,40083181,10.1021/acs.jmedchem.4c03007,,
BIO00117,RDC00110,40083181,10.1021/acs.jmedchem.4c03007,,
BIO00118,RDC00111,36207137,10.2967/jnumed.122.264749,,
BIO00119,RDC00112,36207137,10.2967/jnumed.122.264749,,
BIO00120,RDC00113,36207137,10.2967/jnumed.122.264749,,
BIO00121,RDC00114,36207137,10.2967/jnumed.122.264749,,
BIO00122,RDC00115,21487838,10.1007/s00259-011-1778-0,,
BIO00123,RDC00115,21487838,10.1007/s00259-011-1778-0,,
BIO00124,RDC00116,21487838,10.1007/s00259-011-1778-0,,
BIO00125,RDC00116,21487838,10.1007/s00259-011-1778-0,,
BIO04812,RDC00115,21487838,10.1007/s00259-011-1778-0,,
BIO04821,RDC00116,21487838,10.1007/s00259-011-1778-0,,
BIO00126,RDC00117,17574975,10.2967/jnumed.107.039859,,
BIO00127,RDC00117,17574975,10.2967/jnumed.107.039859,,
BIO00128,RDC00118,17574975,10.2967/jnumed.107.039859,,
BIO00129,RDC00118,17574975,10.2967/jnumed.107.039859,,
BIO00130,RDC00119,31829615,10.1021/acs.molpharmaceut.9b01134,,
BIO00131,RDC00119,31829615,10.1021/acs.molpharmaceut.9b01134,,
BIO00132,RDC00119,31829615,10.1021/acs.molpharmaceut.9b01134,,
BIO00133,RDC00119,31829615,10.1021/acs.molpharmaceut.9b01134,,
BIO00134,RDC00119,31829615,10.1021/acs.molpharmaceut.9b01134,,
BIO00135,RDC00119,31829615,10.1021/acs.molpharmaceut.9b01134,,
BIO00136,RDC00119,31829615,10.1021/acs.molpharmaceut.9b01134,,
BIO00137,RDC00119,31829615,10.1021/acs.molpharmaceut.9b01134,,
BIO00138,RDC00120,34571954,10.3390/cells10092305,,
