affinity_id,chemical_entity_id,affinity_type,affinity_symbols,affinity_value,affinity_unit,description,source,created_at,updated_at
CHAF00001,CC02020,IC50,=,50.0 ± 4.4,nM,The binding affinities for integrin avb3 were more than 100 mM for all peptides.,,,
CHAF00002,CC02021,IC50,=,29.0 ± 0.6,nM,The binding affinities for integrin avb3 were more than 100 mM for all peptides.,,,
CHAF00003,CC02022,IC50,=,2.8±1.0,nM,"Briefly, 96-well plates were coated with αvβ3 integrins and incubated with a mixture of 125I-echistatin and increasing concentrations of the corresponding peptide. Unbound radioligand was washed out and receptor-bound activity was removed from the plate with 2 M sodium hydroxide solution (NaOH). Three independent measurements were made, and the IC50 values were calculated by fitting the per cent inhibition values using Origin software (Northampton, MA, USA).",,,
CHAF00004,CC02023,IC50,=,2.8±1.0,nM,"Briefly, 96-well plates were coated with αvβ3 integrins and incubated with a mixture of 125I-echistatin and increasing concentrations of the corresponding peptide. Unbound radioligand was washed out and receptor-bound activity was removed from the plate with 2 M sodium hydroxide solution (NaOH).",,,
CHAF00005,CC02024,IC50,=,（3.2 ± 0.9） * 10^-7,M,Inhibition of ¹²⁵I-echistatin (integrin αvβ3–specific) binding to αvβ3 integrin on U87MG cells by RGD tetramer.,,,
CHAF00006,LIG00103,IC50,=,（3.5 ± 0.3） * 10^-8,M,Inhibition of ¹²⁵I-echistatin (integrin αvβ3–specific) binding to αvβ3 integrin on U87MG cells by compounds,,,
CHAF00007,CC02025,IC50,=,（1.1 ± 0.2）*10^−7,M,Inhibition of ¹²⁵I-echistatin (integrin αvβ3–specific) binding to αvβ3 integrin on U87MG cells by compounds,,,
CHAF00008,LIG00103,IC50,=,（1.0 ± 0.2）*10^−8,M,Inhibition of ¹²⁵I-echistatin (integrin αvβ3–specific) binding to αvβ3 integrin on U87MG cells by RGD octamer.,,,
CHAF00009,CC00116,IC50,=,51 ± 11,nM,A competitive cell binding assay was performed using MDA-MB-435 cells.,,,
CHAF00010,CC00118,IC50,=,22.57 ± 6.68,nM,"Using ¹²⁵I-[Tyr4]BBN as the radioligand, the integrin binding affinity of NOTA-RGD-BBN was evaluated in integrin expressing U87MG cells.",,,
CHAF00011,CC00124,IC50,=,3.6±0.6,nM,MAG2-3G3-dimer exhibits extremely high affinity (IC50 = 3.6 ± 0.6 nM),,,
CHAF00012,CC00118,IC50,=,55.89 ± 4.23,nM,"Using ¹²⁵I-[Tyr4]BBN as the radioligand, the GRPR binding affinity of NOTA-RGD-BBN was evaluated in GRPR-positive PC-3 cells.",,,
CHAF00013,LIG00103,IC50,=,11.19±4.21,nM,The integrin αvβ3 receptor-binding affinity of c(RGDyK) was determined by a competitive binding assay using ¹²⁵I-c(RGDyK) as the radioligand.,,,
CHAF00014,LIG00381,IC50,=,20.25±1.17,nM,A competitive binding assay was performed in BxPC-3 human pancreatic cancer cell  line ,,,
CHAF00015,LIG00381,IC50,=,20.25±1.17,nM,A competitive binding assay was performed in BxPC-3 human pancreatic cancer cell  line ,,,
CHAF00016,LIG00120,Ki,=,4.2±1.4,nM,"A competitive binding assay was performed in AsPC-1 cells. Briefly, 50 μL of no-carrier-added ¹²⁵I-IFMDV2 was mixed with competitor peptide at serially diluted concentrations ranging from 1 pM to 10 μM, followed by subsequent experimental procedures.",,,
CHAF00017,LIG00120,Ki,=,4.2±1.4,nM,"A competitive binding assay was performed in AsPC-1 cells. Briefly, 50 μL of no-carrier-added ¹²⁵I-IFMDV2 was mixed with competitor peptide at serially diluted concentrations ranging from 1 pM to 10 μM, followed by subsequent experimental procedures.",,,
CHAF00018,LIG00110,IC50,=,19±2,nM,"Previously, the c(phg-isoDGRk) peptide (termed isoDGR) was developed,23 which possesses an excellent binding affinity for both integrin αvβ6 (IC50 =19 ± 2 nmol).",,,
CHAF00019,LIG00110,IC50,=,8.7±0.7,nM,"Previously, the c(phg-isoDGRk) peptide (termed isoDGR) was developed,23 which possesses an excellent binding affinity for integrin α5β1 (IC50 = 8.7 ± 0.7 nmol)",,,
CHAF00020,LIG00102,IC50,=,0.9,nM,"High affinity for αvβ3 integrin, low affinity for αvβ5 and αIIbβ3 integrin (IC50 >10 nM)",,,
CHAF00021,CC00128,IC50,=,7±3,nM,Competitive binding enzyme-linked immunosorbent assays (ELISAs),,,
CHAF00022,CC01010,IC50,=,3±1,nM,Competitive binding enzyme-linked immunosorbent assays (ELISAs),,,
CHAF00023,LIG00113,KD,=,22 nM,nM,,,,
CHAF00024,CC00133,IC50,=,5.1±0.4,nM,Competitive binding of the heterodimer DOTA-FAPI-RGD and the corresponding monomer DOTA-FAPI-04 to FAP on A549-FAP cells (n = 4).,,,
CHAF00025,CC00133,IC50,=,750.4±10.6,nM,Competitive binding of the heterodimer DOTA-FAPI-RGD and the corresponding monomer DOTA-RGD to αvβ3 on U87MG cells (n = 6).,,,
CHAF00026,CC00132,IC50,=,6.8±0.6,nM,Competitive binding of the heterodimer DOTA-FAPI-RGD and the corresponding monomer DOTA-FAPI-04 to FAP on A549-FAP cells (n = 4).,,,
CHAF00027,CC00132,IC50,=,2.1±0.4,nM,Competitive binding of the heterodimer DOTA-FAPI-RGD and the corresponding monomer DOTA-RGD to αvβ3 on U87MG cells (n = 6).,,,
CHAF00028,CC01013,IC50,=,8.9 ± 2.9,nM,Competitive binding against ¹²⁵I-echistatin in U87MG cells,,,
CHAF00029,CC01014,IC50,=,25.0 ± 8.0,nM,Competitive binding against ¹²⁵I-echistatin in U87MG cells,,,
CHAF00030,LIG00111,IC50,=,6.97 ± 1.44,μM,Microscale thermophoresis (MST) was used to evaluate the affinity between alanine scanned peptides and integrin α6 proteins.,,,
CHAF00031,LIG00115,kd,=,0.13 ± 3.65,μM,Microscale thermophoresis (MST) was used to evaluate the affinity between alanine scanned peptides and integrin α6 proteins.,,,
CHAF00032,CC00136,kd,=,13.40 ± 3.41,nM,"MST results demonstrated that A6P had a strong binding to integrin-α6 with a Kd of 13.40 ± 3.41 nM. This binding force was significantly higher than that of the initial peptide RWY, which had a Kd of 5630 ± 1.01 nM (Fig. 3a).",,,
CHAF00033,CC00137,IC50,=,32.1 ±3.2,nM,The IC50 values were calculated to be 32.1 ±3.2 nM for DOTA-FAP-RGD  in FAP-expressing HT1080 cells,,,
CHAF00034,CC00506,IC50,=,28.6 ± 1.6 nM,nM,The IC50 values were calculated in FAP-expressing HT1080 cells,,,
CHAF00035,CC00137,IC50,=,103.6 ± 8.2 nM,nM,"In αvβ3-expressing MC38 cells,  the IC50 values for DOTA-FAP-RGD was  103.6 ± 8.2 nM",,,
CHAF00036,CC00506,IC50,=,81.9 ±6.2,nM,"In αvβ3-expressing MC38 cells,  the IC50 values for DOTA-FAP-2286 was  81.9 ±6.2 nM",,,
CHAF00037,LIG00103,IC50,=,630 ± 144,nM,"With [¹²⁵I]I-EGF and [¹²⁵I]I-echistatin as competing ligands, competitive displacement assays of hEGF, c(RGDyK), c(RGDfK), and two bispecific heterobivalent constructs 1 and 2 were performed in EGFR-positive A431 cells.",,,
CHAF00038,LIG00102,IC50,=,872 ±198,nM,"With [¹²⁵I]I-EGF and [¹²⁵I]I-echistatin as competing ligands, competitive displacement assays of hEGF, c(RGDyK), c(RGDfK), and two bispecific heterobivalent constructs 1 and 2 were performed inintegrin αvβ3-positive U87MG cells.",,,
CHAF00039,CC00139,IC50,=,304.8,nM,,,,
CHAF00040,LIG00127,IC50,=,252.8,nM,,,,
CHAF00041,LIG00111,IC50,=,1081.8,nM,,,,
CHAF00042,CC01013,IC50,=,8.9 ± 2.9,nM,Competitive binding against ¹²⁵I-echistatin in U87MG cells,,,
CHAF00043,CC01014,IC50,=,25.0 ± 8.0,nM,Competitive binding against ¹²⁵I-echistatin in U87MG cells,,,
CHAF00044,LIG00111,IC50,=,6.97 ± 1.44,μM,Microscale thermophoresis (MST) was used to evaluate the affinity between alanine scanned peptides and integrin α6 proteins.,,,
CHAF00045,LIG00115,kd,=,0.13 ± 3.65,μM,Microscale thermophoresis (MST) was used to evaluate the affinity between alanine scanned peptides and integrin α6 proteins.,,,
CHAF00046,CC00136,kd,=,13.40 ± 3.41,nM,"MST results demonstrated that A6P had a strong binding to integrin-α6 with a Kd of 13.40 ± 3.41 nM. This binding force was significantly higher than that of the initial peptide RWY, which had a Kd of 5630 ± 1.01 nM (Fig. 3a).",,,
CHAF00047,CC00137,IC50,=,32.1 ±3.2,nM,The IC50 values were calculated to be 32.1 ±3.2 nM for DOTA-FAP-RGD  in FAP-expressing HT1080 cells,,,
CHAF00048,CC00506,IC50,=,28.6 ± 1.6 nM,nM,The IC50 values were calculated in FAP-expressing HT1080 cells,,,
CHAF00049,CC00137,IC50,=,103.6 ± 8.2 nM,nM,"In αvβ3-expressing MC38 cells,  the IC50 values for DOTA-FAP-RGD was  103.6 ± 8.2 nM",,,
CHAF00050,CC00506,IC50,=,81.9 ±6.2,nM,"In αvβ3-expressing MC38 cells,  the IC50 values for DOTA-FAP-2286 was  81.9 ±6.2 nM",,,
CHAF00051,LIG00103,IC50,=,630 ± 144,nM,"With [¹²⁵I]I-EGF and [¹²⁵I]I-echistatin as competing ligands, competitive displacement assays of hEGF, c(RGDyK), c(RGDfK), and two bispecific heterobivalent constructs 1 and 2 were performed in EGFR-positive A431 cells.",,,
CHAF00052,LIG00102,IC50,=,872 ±198,nM,"With [¹²⁵I]I-EGF and [¹²⁵I]I-echistatin as competing ligands, competitive displacement assays of hEGF, c(RGDyK), c(RGDfK), and two bispecific heterobivalent constructs 1 and 2 were performed inintegrin αvβ3-positive U87MG cells.",,,
CHAF00053,CC00139,IC50,=,304.8,nM,,,,
CHAF00054,LIG00127,IC50,=,252.8,nM,,,,
CHAF00055,LIG00111,IC50,=,1081.8,nM,,,,
CHAF00056,LIG00127,IC50,=,1354.5,nM,Saturation binding to integrin α6β4,,,
CHAF00057,CC00140,IC50,=,0.52,nM,Binding affinity for integrin αvβ3 from binding inhibition assay using U87MG cells,,,
CHAF00058,CC00141,IC50,=,1.8,nM,Binding affinity for integrin αvβ3 from binding inhibition assay using U87MG cells,,,
