entity_id,entity_category,name,synonyms,external_id,smiles,structure_image,formula,iupac_name,inchi,inchikey,pubchem_cid,mol2d_path,mol3d_path,molecular_weight,complexity,heavy_atom_count,hbond_acceptors,hbond_donors,rotatable_bonds,logp,tpsa,ligand_type,linker_type,radionuclide_symbol,radionuclide_half_life,radionuclide_emission,radionuclide_energy,radiochemical_method_description,radiochemical_yield,radiochemical_purity,specific_activity,notes,created_at,updated_at
RAD0001,Radionuclide,Fluorine-18,18F,,,,,,,,,,,,,,,,,,,,,,109.8min,"β⁺ (primary), EC (secondary)","β⁺: 0.633 MeV (max), annihilation photon: 0.511 MeV",,,,,,,
RAD0002,Radionuclide,Copper-64,64Cu,,,,,,,,,,,,,,,,,,,,,,12.70 h,"β⁺ (17.9%), β⁻ (38.4%), EC (43.7%)","β⁺: 0.653 MeV (max), β⁻: 0.579 MeV (max), γ: 1.346 MeV (次要)",,,,,,,
RAD0003,Radionuclide,Gallium-68,68Ga,,,,,,,,,,,,,,,,,,,,,,67.71 min,"β⁺ (primary), EC (secondary)","β⁺: 1.92 MeV (max), annihilation photon: 0.511 MeV",,,,,,,
RAD0004,Radionuclide,Gallium-67,67Ga,,,,,,,,,,,,,,,,,,,,,,3.26 d,"EC (primary), γ (characteristic)","γ: 0.093 MeV (38%), 0.184 MeV (24%), 0.300 MeV (16%)",,,,,,,
RAD0005,Radionuclide,Zirconium-89,89Zr,,,,,,,,,,,,,,,,,,,,,,78.41 h,"β⁺ (primary), EC (secondary)","β⁺: 0.395 MeV (max), annihilation photon: 0.511 MeV, γ: 0.909 MeV (99%)",,,,,,,
RAD0006,Radionuclide,Yttrium-90,90Y,,,,,,,,,,,,,,,,,,,,,,64.0 h,β⁻,β⁻: 2.28 MeV (max),,,,,,,
RAD0007,Radionuclide,Indium-111,111In,,,,,,,,,,,,,,,,,,,,,,2.83 d,"EC (primary), γ (characteristic)","γ: 0.171 MeV (90%), 0.245 MeV (94%)",,,,,,,
RAD0008,Radionuclide,Technetium-99m,99mTc,,,,,,,,,,,,,,,,,,,,,,6.01 h,γ (primary),γ: 0.140 MeV (90%),,,,,,,
RAD0009,Radionuclide,Cobalt-55,55Co,,,,,,,,,,,,,,,,,,,,,,17.53 h,"EC (primary), γ (secondary)",γ: 0.081 MeV (99%),,,,,,,
RAD0010,Radionuclide,Scandium-44,44Sc,,,,,,,,,,,,,,,,,,,,,,3.97 h,"β⁺ (primary), EC (secondary)","β⁺: 1.47 MeV (max), annihilation photon: 0.511 MeV, γ: 1.16 MeV (99%)",,,,,,,
RAD0011,Radionuclide,Iodine-131,131I,,,,,,,,,,,,,,,,,,,,,,8.02 d,"β⁻ (primary), γ (characteristic)","β⁻: 0.606 MeV (max), γ: 0.364 MeV (81%)",,,,,,,
RAD0012,Radionuclide,Iodine-125,125I,,,,,,,,,,,,,,,,,,,,,,59.40 d,"EC (primary), γ (secondary), X-ray","γ: 0.035 MeV (7%), Xray: 0.027-0.032 MeV",,,,,,,
RAD0013,Radionuclide,Iodine-123,123I,,,,,,,,,,,,,,,,,,,,,,13.27 h,"EC (primary), γ (characteristic)","γ: 0.159 MeV (83%), Xray: 0.027 MeV",,,,,,,
RAD0014,Radionuclide,Carbon-11,11C,,,,,,,,,,,,,,,,,,,,,,20.38 min,β⁺ (primary),"β⁺: 0.96 MeV (max), annihilation photon: 0.511 MeV",,,,,,,
RAD0015,Radionuclide,Bismuth-123,123Bi,,,,,,,,,,,,,,,,,,,,,,45.5 min,"β⁺ (primary), EC (secondary)","β⁺: 2.25 MeV (max), annihilation photon: 0.511 MeV, γ: 0.440 MeV (12%)",,,,,,,
RAD0016,Radionuclide,Samarium-153,153Sm,,,,,,,,,,,,,,,,,,,,,,46.28 h,"β⁻ (primary), γ (characteristic)","β⁻: 0.808 MeV (max), γ: 0.103 MeV (28%)",,,,,,,
RAD0017,Radionuclide,Cerium-134,134Ce,,,,,,,,,,,,,,,,,,,,,,3.02 d,"β⁻ (primary), γ (characteristic)","β⁻: 0.554 MeV (max), γ: 0.802 MeV (85%), 0.796 MeV (7%)",,,,,,,
RAD0018,Radionuclide,Cobalt-58m,58mCo,,,,,,,,,,,,,,,,,,,,,,9.10 h,"IT (primary), γ (characteristic)","γ: 0.811 MeV (99%), 0.109 MeV (85%)",,,,,,,
RAD0019,Radionuclide,Terbium-161,¹⁶¹Tb,,,,,,,,,,,,,,,,,,,,,,6.89 d,"β⁻ (primary), γ (secondary)","β⁻: 0.587 MeV (max), γ: 0.075 MeV (15%), 0.141 MeV (11%)",,,,,,,
RAD0020,Radionuclide,Rhenium-188,188Re,,,,,,,,,,,,,,,,,,,,,,16.98 h,"β⁻ (primary), γ (characteristic)","β⁻: 2.12 MeV (max), γ: 0.155 MeV (15%)",,,,,,,
RAD0021,Radionuclide,Erbium-165,165Er,,,,,,,,,,,,,,,,,,,,,,10.36 h,"β⁻ (primary), γ (secondary)","β⁻: 1.00 MeV (max), γ: 0.345 MeV (36%), 0.389 MeV (24%)",,,,,,,
RAD0022,Radionuclide,Titanium-45,45Ti,,,,,,,,,,,,,,,,,,,,,,184.8 min,"β⁻ (primary), γ (secondary)","β⁻: 1.05 MeV (max), γ: 0.889 MeV (70%), 0.116 MeV (8%)",,,,,,,
RAD0023,Radionuclide,Aluminum Fluoride-18,Al18F,,,,,,,,,,,,,,,,,,,,,,109.77 min,"β⁺ (primary), EC (secondary)","β⁺: 0.633 MeV (max), annihilation photon: 0.511 MeV",,,,,,,
RAD0024,Radionuclide,Lutetium-177,177Lu,,,,,,,,,,,,,,,,,,,,,,6.647 d,"β⁻ (primary), γ (secondary)","β⁻: 0.497 MeV (max), γ: 0.208 MeV ",,,,,,,
RAD0025,Radionuclide,Astatine-211,211At,,,,,,,,,,,,,,,,,,,,,,7.21 h,"α (primary), EC (secondary)","α: 5.87 MeV (99%), γ: 0.587 MeV (1%)",,,,,,,
RAD0026,Radionuclide,Actinium-225,225Ac,,,,,,,,,,,,,,,,,,,,,,9.92 d,"α (primary), γ (secondary)","α: 5.83 MeV (84%), 5.78 MeV (14%), γ: 0.089 MeV (2%)",,,,,,,
RAD0027,Radionuclide,Lead-212,212Pb,,,,,,,,,,,,,,,,,,,,,,10.64 h,"β⁻ (primary), γ (characteristic)","β⁻: 0.569 MeV (max), γ: 0.238 MeV (43%), 0.300 MeV (18%)",,,,,,,
RAD0028,Radionuclide,Thorium-227,227Th,,,,,,,,,,,,,,,,,,,,,,18.68 d,"α (primary), β⁻ (secondary)","α: 6.03 MeV (23%), 5.97 MeV (76%), γ: 0.023 MeV (12%)",,,,,,,
RAD0029,Radionuclide,Iodine-124,124I,,,,,,,,,,,,,,,,,,,,,,4.18 d,"β⁺ (22.7%), EC (77.3%), γ (secondary)","β⁺: 1.53 MeV (max), annihilation photon: 0.511 MeV, γ: 1.69 MeV (12%)",,,,,,,
RAD0030,Radionuclide,Cobalt-57,57Co,,,,,,,,,,,,,,,,,,,,,,271.79 d,"EC (primary), γ (characteristic), X-ray","γ: 0.122 MeV (85%), 0.014 MeV (9%), Xray: 0.006 MeV",,,,,,,
RAD0031,Radionuclide,Bismuth-213,213Bi,,,,,,,,,,,,,,,,,,,,,,45.6 min,"α (97%), β⁻ (3%), γ (secondary)","α: 8.42 MeV (97%), γ: 0.440 MeV (26%), 0.583 MeV (10%)",,,,,,,
RAD0032,Radionuclide,Yttrium-86,86Y,,,,,,,,,,,,,,,,,,,,,,14.74 h,"β⁺ (primary), EC (secondary)","β⁺: 1.21 MeV (max), annihilation photon: 0.511 MeV, γ: 0.777 MeV (92%)",,,,,,,
RAD0033,Radionuclide,Manganese-52,⁵²Mn,,,,,,,,,,,,,,,,,,,,,,5.591 d,"β⁺ (primary), EC (secondary)","β⁺: 0.574 MeV (max), annihilation photon: 0.511 MeV, γ: 1.434 MeV (100%)",,,,,,,
RAD0034,Radionuclide,Rhenium-186,186Re,,,,,,,,,,,,,,,,,,,,,,89.2 h,"β⁻ (primary), γ (characteristic)","β⁻: 1.07 MeV (max), γ: 0.137 MeV (9%)",,,,,,,
RAD0035,Radionuclide,Indium-114m,114mIn,,,,,,,,,,,,,,,,,,,,,,49.51 d,"IT (primary), γ (characteristic)","γ: 0.190 MeV (95%), 0.245 MeV (83%)",,,,,,,
RAD0036,Radionuclide,Copper-67,67Cu,,,,,,,,,,,,,,,,,,,,,,61.83 h,"β⁻ (primary), γ (characteristic)","β⁻: 0.579 MeV (max), γ: 0.185 MeV (48%), 0.933 MeV (16%)",,,,,,,
RAD0037,Radionuclide,Indium-113m,113mIn,,,,,,,,,,,,,,,,,,,,,,99.5 min,"IT (primary), γ (characteristic)","γ: 0.393 MeV (64%), 0.276 MeV (17%)",,,,,,,
RAD0038,Radionuclide,Arsenic-77,77As,,,,,,,,,,,,,,,,,,,,,,38.83 h,"β⁻ (primary), γ (characteristic)","β⁻: 0.682 MeV (max), γ: 0.565 MeV (59%), 0.239 MeV (16%)",,,,,,,
RAD0039,Radionuclide,Scandium-44,44Sc,,,,,,,,,,,,,,,,,,,,,,3.97 h,"β⁺ (primary), EC (secondary)","β⁺: 1.47 MeV (max), annihilation photon: 0.511 MeV, γ: 1.16 MeV (99%)",,,,,,,
RAD0040,Radionuclide,Lead-203,²⁰³Pb,,,,,,,,,,,,,,,,,,,,,,51.9 h,"β⁻ (primary), γ (characteristic), X-ray","β⁻: 0.433 MeV (max), γ: 0.202 MeV (82%), Xray: 0.010 MeV",,,,,,,
RAD0041,Radionuclide,Gallium-66,66Ga,,,,,,,,,,,,,,,,,,,,,,9.49 h,"β⁺ (primary), EC (secondary)","β⁺: 4.15 MeV (max), annihilation photon: 0.511 MeV, γ: 1.039 MeV (36%)",,,,,,,
RAD0042,Radionuclide,Terbium-155,155Tb,,,,,,,,,,,,,,,,,,,,,,5.32 d,"EC (primary), γ (characteristic)","γ: 0.087 MeV (42%), 0.105 MeV (30%), 0.142 MeV (28%)",,,,,,,
RAD0043,Radionuclide,Terbium-152,152Tb,,,,,,,,,,,,,,,,,,,,,,17.5 h,"β⁻ (primary), γ (characteristic)","β⁻: 1.45 MeV (max), γ: 0.936 MeV (89%), 0.731 MeV (72%)",,,,,,,
RAD0044,Radionuclide,Terbium-149,149Tb,,,,,,,,,,,,,,,,,,,,,,4.12 h,"β⁻ (primary), γ (secondary)","β⁻: 1.00 MeV (max), γ: 0.155 MeV (48%), 0.087 MeV (22%)",,,,,,,
RAD0045,Radionuclide,Scandium-47,47Sc,,,,,,,,,,,,,,,,,,,,,,3.349 d,"β⁻ (primary), γ (characteristic)","β⁻: 0.600 MeV (max), γ: 0.159 MeV (68%), 0.122 MeV (13%)",,,,,,,
RAD0046,Radionuclide,Copper-61,61Cu,,,,,,,,,,,,,,,,,,,,,,3.333 h,"β⁺ (primary), EC (secondary)","β⁺: 2.83 MeV (max), annihilation photon: 0.511 MeV, γ: 0.656 MeV (2%)",,,,,,,
RAD0048,Radionuclide,Lanthanum-132 / Lanthanum-135,132/135La,,,,,,,,,,,,,,,,,,,,,,132La: 4.87 h; 135La: 19.5 h,132La: β⁻; 135La: β⁻,"132La: β⁻ 1.32 MeV (max), γ 0.489 MeV; 135La: β⁻ 1.25 MeV (max), γ 0.126 MeV",,,,,,,
RAD0049,Radionuclide,Platinum-191,¹⁹¹Pt,,,,,,,,,,,,,,,,,,,,,,2.80 d,"EC (primary), γ (characteristic)","γ: 0.130 MeV (80%), 0.208 MeV (25%), 0.296 MeV (15%)",,,,,,,
RAD0050,Radionuclide,Iodine-124,124I,,,,,,,,,,,,,,,,,,,,,,4.18 d,"β⁺ (22.7%), EC (77.3%), γ (secondary)","β⁺: 1.53 MeV (max), annihilation photon: 0.511 MeV, γ: 1.69 MeV (12%)",,,,,,,
RAD0051,Radionuclide,Phosphorus-32,32P,,,,,,,,,,,,,,,,,,,,,,14.26 d,β⁻,β⁻: 1.71 MeV (max),,,,,,,
RAD0052,Radionuclide,Lead-214,214Pb,,,,,,,,,,,,,,,,,,,,,,26.8 min,"β⁻ (primary), γ (characteristic)","β⁻: 0.675 MeV (max), γ: 0.295 MeV (18%), 0.352 MeV (37%)",,,,,,,
RAD0053,Radionuclide,Promethium-149,149Pm,,,,,,,,,,,,,,,,,,,,,,5.41 d,"β⁻ (primary), γ (secondary)","β⁻: 0.224 MeV (max), γ: 0.141 MeV (2.1%), 0.087 MeV (1.3%)",,,,,,,
RAD0054,Radionuclide,Holmium-166,166Ho,,,,,,,,,,,,,,,,,,,,,,26.8 h,"β⁻ (primary), γ (characteristic)","β⁻: 1.85 MeV (max), γ: 0.081 MeV (6.3%)",,,,,,,
RAD0055,Radionuclide,Lead-211,211Pb,,,,,,,,,,,,,,,,,,,,,,36.1 min,"EC (primary), γ (characteristic)","γ: 0.551 MeV (35%), 0.401 MeV (44%), 0.250 MeV (12%)",,,,,,,
RDC00100,RDC,[68Ga]Ga-D0103,,,,,,,,,,,,,,,,,,,,,,,,,,"68Ga-radiolabeling was done by mixing a solution of sodium acetate (30 µL, 155 mg/mL in water) and 300 µL of generator eluate (80–85 MBq) with either 10 µg (for in vivo imaging) or 25 µg (for ex vivo biodistribution studies) of D0103 or Trivehexin. The mixture was incubated at 95°C for 15 min. Sodium acetate (100 µL) was then added to raise the pH to ~ 6.",,,,,,
RDC00101,RDC,[68Ga]Ga-Trivehexin,,,,,,,,,,,,,,,,,,,,,,,,,,"Radiolabeling for preclinical experiments and determination of n-octanol–PBS distribution coefficients (log D7.4) was done as described . Applying this protocol, 5 nmol (0.5 nmol for cellular assays in order to maximize molar activity) of TRAP(AvB6)3 or Trivehexin were labeled with 68 Ga at pH 2, resulting RCY > 95%.",>95%,0.99,,,,
RDC00102,RDC,[90Y]Y-3PRGD2,,,,,,,,,,,,,,,,,,,,,,,,,,"For 111In and 90Y radiolabeling, 74-370 MBq of111InCl3 or 90YCl3 was diluted in 300μL of 0.1 M sodium acetate buffer (pH 5.2) and added to the DOTA-peptide conjugates (5 μg ofpeptide per mCi of111InCl3 or 90YCl3).",,＞98%,7.4~14.8 mBq/nmol,,,
RDC00103,RDC,[111In]In-3PRGD2,,,,,,,,,,,,,,,,,,,,,,,,,,,,＞98%,7.4~14.8 mBq/nmol,,,
RDC00104,RDC,[111In]In-RGD4,,,,,,,,,,,,,,,,,,,,,,,,,,,,＞98%,7.4~14.8 mBq/nmol,,,
RDC00105,RDC,[90Y]Y-RGD4,,,,,,,,,,,,,,,,,,,,,,,,,,,,＞98%,7.4~14.8 mBq/nmol,,,
RDC00106,RDC,[99mTc]Tc-(RGD)6,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.95,,,,
RDC00107,RDC,[99mTc]Tc-(RGD)4,,,,,,,,,,,,,,,,,,,,,,,,,,,25±1%(n=4),0.95,,,,
RDC00110,RDC,[211At]At-(RGD)4,,,,,,,,,,,,,,,,,,,,,,,,,,,20±8%(n=3),0.95,,,,
RDC00111,RDC,[68Ga]Ga-DOTA-5G,,,,,,,,,,,,,,,,,,,,,,,,,,"Gallium-68 was eluted from a 68Ge/68Ga generator ((Eckert and Ziegler, Berlin, Germany) using 5 mL of 0.1 N HCl, and 1.5 mL fraction containing the bulk radioactivity was used. Radiolabeling was conducted at pH 4.0 in 1M HEPES buffer.",0.45,0.98,,,,
RDC00112,RDC,[68Ga]GaDOTA-ABM-5G,,,,,,,,,,,,,,,,,,,,,,,,,,"Gallium-68 was eluted from a 68Ge/68Ga generator ((Eckert and Ziegler, Berlin, Germany) using 5 mL of 0.1 N HCl, and 1.5 mL fraction containing the bulk radioactivity was used. Radiolabeling was conducted at pH 4.0 in 1M HEPES buffer.",0.53,0.99,,,,
RDC00113,RDC,[177Lu]Lu-DOTA-5G,,,,,,,,,,,,,,,,,,,,,,,,,,"Radiolabeling of peptides 1 and 2 with lutetium-177 (ITM (Garching, Germany) was conducted at pH 5.0 in 0.1 M sodium acetate buffer by adding 1 (44 μg) or 2 (46 μg) to [177Lu]LuCl3 (a 148 MBq aliquot of the commercial [177Lu]LuCl3 in 0.04 N HCl in 100-150 μL buffer) and ascorbic acid (25 μL of a 5 mg/mL aq. solution).",0.99,0.98,,,,
RDC00114,RDC,[177Lu]Lu-DOTA-ABM-5G,,,,,,,,,,,,,,,,,,,,,,,,,,"Radiolabeling of peptides 1 and 2 with lutetium-177 (ITM (Garching, Germany) was conducted at pH 5.0 in 0.1 M sodium acetate buffer by adding 1 (44 μg) or 2 (46 μg) to [177Lu]LuCl3 (a 148 MBq aliquot of the commercial [177Lu]LuCl3 in 0.04 N HCl in 100-150 μL buffer) and ascorbic acid (25 μL of a 5 mg/mL aq. solution).",0.99,0.97,,,,
RDC00115,RDC,[68Ga]NODAGA-RGD,,,,,,,,,,,,,,,,,,,,,,,,,,to 10 μl NODAGA-RGD (1 μg/μl in water) 60 μl 1.9 M sodium acetate solution and 300 μl 68GaCl3 of the main fraction of the generator eluate (approx. 100–200 MBq in 0.1 M HCl) were added. The solution was allowed to react for 15 min at room temperature.,,>96%,10-20 TBq/nmol,,,
RDC00116,RDC,[68Ga]Ga-DOTA-RGD,,,,,,,,,,,,,,,,,,,,,,,,,,to 10 μl NODAGA-RGD (1 μg/μl in water) 60 μl 1.9 M sodium acetate solution and 300 μl 68GaCl3 of the main fraction of the generator eluate (approx. 100–200 MBq in 0.1 M HCl) were added. The solution was allowed to react for 15 min at room temperature.,,>96%,,,,
RDC00117,RDC,[64Cu]Cu-DOTA-E{E[c(RGDyK)]2}2,,,,,,,,,,,,,,,,,,,,,,,,,,"In brief, 20 mLof 64CuCl2 (74 MBq in 0.1N HCl) were diluted in 400 mL of 0.1 mol/L sodium acetate buffer (pH 6.5) and added to the DOTA-RGD multimer (a 1 mg/mL
solution of peptide was made and separated into aliquots; 5 mgof DOTA-RGD tetramer and 10 mg of DOTA-RGD octamer per 37 MBq of 64Cu were used for the labeling). The reaction mixture was incubated for 1 h at 50 C.",,>98%,23 MBq/nmol,,,
RDC00118,RDC,[64Cu]Cu-DOTA-E(E{E[c(RGDyK)]2}2)2,,,,,,,,,,,,,,,,,,,,,,,,,,"In brief, 20 mLof 64CuCl2 (74 MBq in 0.1N HCl) were diluted in 400 mL of 0.1 mol/L sodium acetate buffer (pH 6.5) and added to the DOTA-RGD multimer (a 1 mg/mL
solution of peptide was made and separated into aliquots; 5 mgof DOTA-RGD tetramer and 10 mg of DOTA-RGD octamer per 37 MBq of 64Cu were used for the labeling). The reaction mixture was incubated for 1 h at 50 C.",,>98%,23 MBq/nmol,,,
