drug_id,chemical_entity_id,relation_role,notes,created_at,updated_at
RDC00030,RAD0008,radionuclide,,,
RDC00031,RAD0003,radionuclide,,,
RDC00032,RAD0024,radionuclide,,,
RDC00033,RAD0006,radionuclide,,,
RDC00034,RAD0024,radionuclide,,,
RDC00035,RAD0024,radionuclide,,,
RDC00036,RAD0024,radionuclide,,,
RDC00037,RAD0024,radionuclide,,,
RDC00038,RAD0008,radionuclide,,,
RDC00039,RAD0008,radionuclide,,,
RDC00040,RAD0008,radionuclide,,,
RDC00041,RAD0008,radionuclide,,,
RDC00042,RAD0008,radionuclide,,,
RDC00043,RAD0008,radionuclide,,,
RDC00044,RAD0008,radionuclide,,,
RDC00045,RAD0008,radionuclide,,,
RDC00046,RAD0008,radionuclide,,,
RDC00047,RAD0008,radionuclide,,,
RDC00048,RAD0008,radionuclide,,,
RDC00049,RAD0003,radionuclide,,,
RDC00050,RAD0003,radionuclide,,,
RDC00051,RAD0007,radionuclide,,,
RDC00053,RAD0008,radionuclide,,,
RDC00054,RAD0008,radionuclide,,,
RDC00055,RAD0007,radionuclide,,,
RDC00056,RAD0007,radionuclide,,,
RDC00058,RAD0023,radionuclide,,,
RDC00059,RAD0023,radionuclide,,,
RDC00060,RAD0023,radionuclide,,,
RDC00061,RAD0023,radionuclide,,,
RDC00062,RAD0003,radionuclide,,,
RDC00063,RAD0024,radionuclide,,,
RDC00064,RAD0003,radionuclide,,,
RDC00065,RAD0003,radionuclide,,,
RDC00066,RAD0003,radionuclide,,,
RDC00067,RAD0003,radionuclide,,,
RDC00068,RAD0003,radionuclide,,,
RDC00069,RAD0003,radionuclide,,,
RDC00070,RAD0003,radionuclide,,,
RDC00071,RAD0003,radionuclide,,,
RDC00072,RAD0003,radionuclide,,,
RDC00073,RAD0003,radionuclide,,,
RDC00074,RAD0003,radionuclide,,,
RDC00075,RAD0003,radionuclide,,,
RDC00076,RAD0003,radionuclide,,,
RDC00077,RAD0032,radionuclide,,,
RDC00078,RAD0024,radionuclide,,,
RDC00079,RAD0003,radionuclide,,,
RDC00080,RAD0032,radionuclide,,,
RDC00081,RAD0024,radionuclide,,,
RDC00082,RAD0023,radionuclide,,,
RDC00083,RAD0023,radionuclide,,,
RDC00084,RAD0002,radionuclide,,,
RDC00085,RAD0008,radionuclide,,,
RDC00087,RAD0024,radionuclide,,,
RDC00093,RAD0003,radionuclide,,,
RDC00094,RAD0007,radionuclide,,,
RDC00095,RAD0024,radionuclide,,,
RDC00096,RAD0007,radionuclide,,,
RDC00097,RAD0007,radionuclide,,,
RDC00098,RAD0003,radionuclide,,,
RDC00099,RAD0024,radionuclide,,,
RDC00100,RAD0003,radionuclide,,,
RDC00101,RAD0003,radionuclide,,,
RDC00102,RAD0006,radionuclide,,,
RDC00103,RAD0007,radionuclide,,,
RDC00104,RAD0007,radionuclide,,,
RDC00105,RAD0006,radionuclide,,,
RDC00106,RAD0008,radionuclide,,,
RDC00107,RAD0008,radionuclide,,,
RDC00110,RAD0025,radionuclide,,,
RDC00111,RAD0003,radionuclide,,,
RDC00112,RAD0003,radionuclide,,,
RDC00113,RAD0024,radionuclide,,,
RDC00114,RAD0024,radionuclide,,,
RDC00115,RAD0003,radionuclide,,,
RDC00116,RAD0003,radionuclide,,,
RDC00117,RAD0002,radionuclide,,,
RDC00118,RAD0002,radionuclide,,,
RDC00119,RAD0003,radionuclide,,,
RDC00120,RAD0003,radionuclide,,,
RDC00121,RAD0003,radionuclide,,,
RDC00122,RAD0008,radionuclide,,,
RDC00123,RAD0004,radionuclide,,,
RDC00124,RAD0003,radionuclide,,,
RDC00127,RAD0002,radionuclide,,,
RDC00128,RAD0002,radionuclide,,,
RDC00129,RAD0001,radionuclide,,,
RDC00131,RAD0008,radionuclide,,,
RDC00132,RAD0008,radionuclide,,,
RDC00133,RAD0003,radionuclide,,,
RDC00134,RAD0025,radionuclide,,,
RDC00135,RAD0004,radionuclide,,,
RDC00136,RAD0003,radionuclide,,,
RDC00137,RAD0008,radionuclide,,,
RDC00138,RAD0008,radionuclide,,,
RDC00139,RAD0007,radionuclide,,,
RDC00140,RAD0008,radionuclide,,,
RDC00142,RAD0007,radionuclide,,,
RDC00144,RAD0023,radionuclide,,,
RDC00147,RAD0023,radionuclide,,,
RDC00148,RAD0023,radionuclide,,,
RDC00149,RAD0002,radionuclide,,,
RDC00150,RAD0002,radionuclide,,,
RDC00151,RAD0002,radionuclide,,,
RDC00152,RAD0003,radionuclide,,,
RDC00153,RAD0024,radionuclide,,,
RDC00154,RAD0003,radionuclide,,,
RDC00155,RAD0024,radionuclide,,,
RDC00156,RAD0003,radionuclide,,,
RDC00157,RAD0003,radionuclide,,,
RDC00158,RAD0024,radionuclide,,,
RDC00159,RAD0024,radionuclide,,,
RDC00160,RAD0023,radionuclide,,,
RDC00161,RAD0023,radionuclide,,,
RDC00162,RAD0008,radionuclide,,,
RDC00163,RAD0008,radionuclide,,,
RDC00164,RAD0003,radionuclide,,,
RDC00165,RAD0024,radionuclide,,,
RDC00166,RAD0003,radionuclide,,,
RDC00167,RAD0003,radionuclide,,,
RDC00168,RAD0003,radionuclide,,,
RDC00169,RAD0003,radionuclide,,,
RDC00173,RAD0008,radionuclide,,,
RDC00174,RAD0007,radionuclide,,,
RDC00175,RAD0007,radionuclide,,,
RDC00176,RAD0002,radionuclide,,,
