drug_id,indication_id,evidence,created_at,updated_at
RDC02854,IN00038,,,
RDC00007,IN00041,,,
RDC00008,IN00038,,,
RDC00009,IN00038,,,
RDC00010,IN00041,,,
RDC00014,IN00041,,,
RDC00015,IN00041,,,
RDC00019,IN00051,,,
RDC00020,IN00041,,,
RDC00023,IN00051,,,
RDC00030,IN00007,,,
RDC00030,IN00041,,,
RDC00031,IN00009,,,
RDC00031,IN00062,,,
RDC00031,IN00056,,,
RDC00032,IN00060,,,
RDC00033,IN00065,,,
RDC00034,IN00006,,,
RDC00034,IN00007,,,
RDC00034,IN00037,,,
RDC00034,IN00039,,,
RDC00035,IN00006,,,
RDC00035,IN00007,,,
RDC00035,IN00037,,,
RDC00035,IN00039,,,
RDC00036,IN00006,,,
RDC00036,IN00016,,,
RDC00037,IN00006,,,
RDC00037,IN00016,,,
RDC00038,IN00002,,,
RDC00038,IN00011,,,
RDC00038,IN00016,,,
RDC00039,IN00002,,,
RDC00039,IN00011,,,
RDC00039,IN00016,,,
RDC00040,IN00002,,,
RDC00040,IN00011,,,
RDC00040,IN00016,,,
RDC00041,IN00002,,,
RDC00041,IN00011,,,
RDC00041,IN00016,,,
RDC00042,IN00002,,,
RDC00042,IN00011,,,
RDC00042,IN00016,,,
RDC00043,IN00002,,,
RDC00043,IN00011,,,
RDC00043,IN00016,,,
RDC00044,IN00016,,,
RDC00045,IN00016,,,
RDC00046,IN00005,,,
RDC00046,IN00006,,,
RDC00046,IN00016,,,
RDC00047,IN00005,,,
RDC00047,IN00006,,,
RDC00047,IN00016,,,
RDC00048,IN00005,,,
RDC00048,IN00006,,,
RDC00048,IN00016,,,
RDC00049,IN00016,,,
RDC00050,IN00016,,,
RDC00051,IN00007,,,
RDC00053,IN00016,,,
RDC00053,IN00007,,,
RDC00054,IN00016,,,
RDC00054,IN00007,,,
RDC00055,IN00016,,,
RDC00055,IN00042,,,
RDC00055,IN00007,,,
RDC00056,IN00016,,,
RDC00056,IN00042,,,
RDC00056,IN00007,,,
RDC00058,IN00011,,,
RDC00058,IN00007,,,
RDC00058,IN00002,,,
RDC00059,IN00011,,,
RDC00059,IN00007,,,
RDC00059,IN00002,,,
RDC00060,IN00011,,,
RDC00060,IN00007,,,
RDC00060,IN00002,,,
RDC00061,IN00011,,,
RDC00061,IN00007,,,
RDC00061,IN00002,,,
RDC00062,IN00005,,,
RDC00063,IN00005,,,
RDC00064,IN00005,,,
RDC00065,IN00065,,,
RDC00066,IN00065,,,
RDC00067,IN00016,,,
RDC00067,IN00050,,,
RDC00067,IN00037,,,
RDC00067,IN00005,,,
RDC00067,IN00002,,,
RDC00068,IN00016,,,
RDC00068,IN00050,,,
RDC00068,IN00037,,,
RDC00068,IN00005,,,
RDC00068,IN00002,,,
RDC00069,IN00011,,,
RDC00069,IN00007,,,
RDC00069,IN00037,,,
RDC00070,IN00041,,,
RDC00071,IN00041,,,
RDC00072,IN00041,,,
