drug_id,target_id,evidence,created_at,updated_at
RDC00100,TAR0064,,,
RDC00101,TAR0064,,,
RDC00102,TAR0023,,,
RDC00103,TAR0023,,,
RDC00104,TAR0023,,,
RDC00105,TAR0023,,,
RDC00106,TAR0023,,,
RDC00107,TAR0023,,,
RDC00110,TAR0023,,,
RDC00111,TAR0023,,,
RDC00112,TAR0023,,,
RDC00113,TAR0023,,,
RDC00114,TAR0023,,,
RDC00115,TAR0064,,,
RDC00116,TAR0023,,,
RDC00116,TAR0065,,,
RDC00116,TAR0064,,,
RDC00117,TAR0064,,,
RDC00118,TAR0064,,,
RDC00119,TAR0023,,,
RDC00120,TAR0052,,,
RDC00121,TAR0023,,,
RDC00122,TAR0023,,,
RDC00123,TAR0064,,,
RDC00124,TAR0023,,,
RDC00124,TAR0020,,,
RDC00127,TAR0023,,,
RDC00128,TAR0023,,,
RDC00129,TAR0064,,,
RDC00131,TAR0023,,,
RDC00132,TAR0064,,,
RDC00133,TAR0064,,,
RDC00134,TAR0042,,,
RDC00135,TAR0064,,,
RDC00136,TAR0064,,,
RDC00137,TAR0064,,,
RDC00138,TAR0064,,,
RDC00139,TAR0023,,,
RDC00140,TAR0023,,,
RDC00142,TAR0023,,,
RDC00144,TAR0064,,,
RDC00147,TAR0064,,,
RDC00148,TAR0064,,,
RDC00149,TAR0015,,,
RDC00149,TAR0023,,,
RDC00150,TAR0015,,,
RDC00150,TAR0023,,,
RDC00151,TAR0015,,,
RDC00151,TAR0023,,,
RDC00152,TAR0003,,,
RDC00152,TAR0023,,,
RDC00153,TAR0003,,,
RDC00153,TAR0023,,,
RDC00154,TAR0003,,,
RDC00154,TAR0023,,,
RDC00155,TAR0023,,,
RDC00156,TAR0053,,,
RDC00157,TAR0053,,,
RDC00158,TAR0063,,,
RDC00158,TAR0023,,,
RDC00159,TAR0063,,,
RDC00159,TAR0023,,,
RDC00160,TAR0064,,,
RDC00161,TAR0064,,,
RDC00162,TAR0023,,,
RDC00163,TAR0023,,,
RDC00164,TAR0003,,,
RDC00164,TAR0023,,,
RDC00165,TAR0003,,,
RDC00165,TAR0023,,,
RDC00166,TAR0015,,,
RDC00166,TAR0023,,,
RDC00167,TAR0015,,,
RDC00167,TAR0023,,,
RDC00168,TAR0064,,,
RDC00169,TAR0064,,,
RDC00173,TAR0023,,,
RDC00174,TAR0023,,,
RDC00175,TAR0023,,,
RDC00176,TAR0023,,,
RDC00177,TAR0055,,,
RDC00179,TAR0023,,,
RDC00179,TAR0020,,,
RDC00180,TAR0023,,,
RDC00181,TAR0064,,,
RDC00182,TAR0064,,,
RDC00183,TAR0056,,,
RDC00184,TAR0023,,,
RDC00185,TAR0023,,,
RDC00186,TAR0023,,,
RDC00187,TAR0023,,,
RDC00188,TAR0023,,,
RDC00189,TAR0023,,,
RDC00191,TAR0023,,,
RDC00191,TAR0063,,,
RDC00192,TAR0023,,,
RDC00193,TAR0023,,,
RDC00194,TAR0064,,,
RDC00195,TAR0023,,,
RDC00196,TAR0064,,,
RDC00197,TAR0064,,,
RDC00202,TAR0023,,,
RDC00198,TAR0023,,,
RDC00199,TAR0023,,,
RDC00200,TAR0023,,,
RDC00201,TAR0023,,,
RDC00204,TAR0023,,,
RDC00205,TAR0023,,,
RDC00206,TAR0023,,,
RDC00207,TAR0023,,,
RDC00208,TAR0023,,,
RDC00209,TAR0023,,,
RDC00210,TAR0064,,,
RDC00211,TAR0003,,,
RDC00211,TAR0023,,,
RDC00212,TAR0053,,,
RDC00213,TAR0023,,,
RDC00213,TAR0020,,,
RDC00214,TAR0023,,,
RDC00214,TAR0020,,,
RDC00215,TAR0023,,,
RDC00215,TAR0020,,,
RDC00216,TAR0042,,,
RDC00221,TAR0057,,,
RDC00222,TAR0057,,,
RDC00223,TAR0057,,,
RDC00229,TAR0063,,,
RDC00229,TAR0023,,,
RDC00230,TAR0063,,,
RDC00230,TAR0023,,,
RDC00231,TAR0047,,,
RDC00232,TAR0047,,,
RDC00233,TAR0047,,,
RDC00234,TAR0047,,,
RDC00235,TAR0047,,,
RDC00236,TAR0058,,,
RDC00237,TAR0058,,,
RDC00238,TAR0056,,,
RDC00238,TAR0023,,,
RDC00239,TAR0056,,,
RDC00239,TAR0023,,,
RDC00240,TAR0023,,,
RDC00241,TAR0003,,,
RDC00241,TAR0023,,,
RDC00242,TAR0003,,,
RDC00242,TAR0023,,,
RDC00244,TAR0057,,,
RDC00245,TAR0057,,,
RDC00247,TAR0053,,,
RDC00248,TAR0001,,,
RDC00248,TAR0059,,,
RDC00249,TAR0001,,,
RDC00249,TAR0059,,,
RDC00250,TAR0001,,,
RDC00250,TAR0059,,,
RDC00251,TAR0060,,,
RDC00251,TAR0023,,,
RDC00252,TAR0061,,,
RDC00253,TAR0023,,,
RDC00254,TAR0023,,,
RDC00255,TAR0023,,,
RDC00256,TAR0023,,,
RDC00260,TAR0062,,,
RDC00260,TAR0036,,,
RDC00261,TAR0062,,,
RDC00261,TAR0036,,,
RDC00263,TAR0063,,,
RDC00264,TAR0063,,,
RDC00265,TAR0023,,,
RDC00265,TAR0057,,,
RDC00266,TAR0023,,,
RDC00274,TAR0059,,,
RDC00277,TAR0059,,,
RDC00285,TAR0062,,,
RDC00286,TAR0064,,,
RDC00288,TAR0066,,,
RDC00290,TAR0023,,,
RDC00291,TAR0023,,,
RDC00292,TAR0023,,,
RDC00294,TAR0023,,,
RDC00294,TAR0057,,,
RDC00294,TAR0063,,,
RDC00295,TAR0064,,,
RDC00311,TAR0023,,,
RDC00327,TAR0023,,,
RDC00328,TAR0023,,,
RDC00329,TAR0023,,,
RDC00330,TAR0023,,,
RDC00336,TAR0023,,,
RDC00337,TAR0023,,,
RDC00337,TAR0020,,,
RDC00338,TAR0023,,,
RDC00341,TAR0023,,,
RDC00341,TAR0020,,,
RDC00342,TAR0023,,,
RDC00342,TAR0020,,,
RDC00343,TAR0023,,,
RDC00343,TAR0020,,,
RDC00348,TAR0023,,,
RDC00349,TAR0023,,,
RDC00350,TAR0064,,,
RDC00353,TAR0023,,,
RDC00357,TAR0023,,,
RDC00357,TAR0067,,,
RDC00358,TAR0023,,,
RDC00359,TAR0023,,,
RDC00369,TAR0023,,,
RDC00371,TAR0023,,,
RDC00372,TAR0056,,,
RDC00374,TAR0023,,,
RDC00374,TAR0020,,,
RDC00376,TAR0064,,,
RDC00377,TAR0064,,,
RDC00378,TAR0023,,,
RDC00379,TAR0023,,,
RDC00380,TAR0023,,,
RDC00381,TAR0023,,,
RDC00382,TAR0023,,,
RDC00383,TAR0023,,,
RDC00384,TAR0023,,,
RDC00385,TAR0023,,,
RDC00386,TAR0023,,,
RDC00386,TAR0063,,,
RDC00387,TAR0055,,,
RDC00389,TAR0023,,,
RDC00390,TAR0023,,,
RDC00391,TAR0023,,,
RDC00392,TAR0023,,,
RDC00394,TAR0064,,,
RDC00397,TAR0064,,,
RDC00398,TAR0023,,,
RDC00399,TAR0023,,,
RDC00402,TAR0023,,,
RDC00403,TAR0023,,,
RDC00406,TAR0023,,,
RDC00407,TAR0016,,,
RDC00408,TAR0016,,,
RDC00408,TAR0023,,,
