activity_id,drug_id,pmid,doi,clinical_trial_number,indication,patients,frequency,dosage,clinical_endpoint,endpoint_period,purpose,results_description,efficacy_description,security_indicators,adverse_events_summary,created_at,updated_at
HU0001,RDC00100,40540027,10.1007/s00259-025-07408-7,,ESCC,"68-year-old female had moderately differentiated (G2) non-keratinizing squamous cell carcinoma with TPS <1%, CPS 2%, stromal positivity 2%, and positive p40/CK5/6 staining.",,193 MBq,Imaging potential,,To assess the potential of αvβ6-integrin as a theranostic target in esophageal cancer.,"Tracer uptake rapidly increased in the primary tumor (SUVmax 9.0, 11.3 at 15, 104 min p.i.) and lymph node metastasis (SUVmax 19.5, 28.3).",,,Administration of 68Ga-D0103 was well tolerated without any adverse reactions.,,
HU0002,RDC00101,34559266,10.1007/s00259-021-05559-x,,Non-keratinizing squamous cell carcinoma,"A female patient was diagnosed with moderately differentiated (G2) non-keratinizing squamous cell carcinoma, with tumor nodule metastasis (TPS) <1%, comprehensive positive score (CPS) 2, IC2%, p40 positive, and CK5/6 positive.",,148 MBq,Imaging potential,,"Ga-68-Trivehexin was tested for in-human PET/CT imaging of HNSCC, parotideal adenocarcinoma, and metastatic PDAC.","Preclinical PET correlated well with human data, demonstrating high and persistent uptake in metastatic PDAC, HNSCC (SUVmax = 10–13), kidneys and urine. ⁶⁸Ga-Trivehexin allowed PET/CT visualization of small PDAC metastases and exhibited high HNSCC uptake without tumor-associated inflammation retention.",,Vital signs or the results of laboratory studies or electrocardiograms,"ollowing iv administration of 68 Ga-Trivehexin, there were no adverse or clinically detectable pharmacologic effects. No significant changes in vital signs or the results of laboratory studies or electrocardiograms were observed.",,
HU0003,RDC00155,40177543,10.1016/j.apsb.2024.10.012,NCT06375564,"Advanced integrin αvβ3-positive tumors (ACC, ICC, uLMS)","n=10 (3M/7F, aged 45±16 years)",Single dose,1.57±0.08 GBq (42.32±2.11 mCi),Response rate,10%,Efficacy,,"According to PERCIST 1.0, the partial response rate was 10% (1/10)",,"No grade ≥3 acute AEs; Grade 3 ALT/AST elevation (1/10), grade 2 ALT elevation (1/10), grade 2 anemia (1/10)",,
HU0004,RDC00155,40177543,10.1016/j.apsb.2024.10.012,NCT06375564,"Advanced integrin αvβ3-positive tumors (ACC, ICC, uLMS)","n=10 (3M/7F, aged 45±16 years)",Single dose,1.57±0.08 GBq (42.32±2.11 mCi),Stable disease rate,80%,Efficacy,,"According to PERCIST 1.0, the stable disease rate was 80% (8/10)",,"No grade ≥3 acute AEs; Grade 3 ALT/AST elevation (1/10), grade 2 ALT elevation (1/10), grade 2 anemia (1/10)",,
HU0005,RDC00155,40177543,10.1016/j.apsb.2024.10.012,NCT06375564,"Advanced integrin αvβ3-positive tumors (ACC, ICC, uLMS)","n=10 (3M/7F, aged 45±16 years)",Single dose,1.57±0.08 GBq (42.32±2.11 mCi),Progressive disease rate,10%,Efficacy,,"According to PERCIST 1.0, the progressive disease rate was 10% (1/10)",,,,
HU0006,RDC00155,40177543,10.1016/j.apsb.2024.10.012,NCT06375564,"Advanced integrin αvβ3-positive tumors (ACC, ICC, uLMS)","n=10 (3M/7F, aged 45±16 years)",Single dose,1.57±0.08 GBq (42.32±2.11 mCi),Safety,,To evaluate the safety,,,"Ab parameters stable (WBC, HB, PLT, ALT, AST, Cr)","No grade ≥3 acute AEs; Grade 3 ALT/AST elevation (1/10), grade 2 ALT elevation (1/10), grade 2 anemia (1/10)",,
HU0007,RDC00164,38276986,10.1007/s00259-024-06623-y,NCT05515783,Cancer diagnosis (various types),3 healthy volunteers + 3 cancer patients,Single dose,2.3–3.7 MBq/kg,Safety,,Safety of ⁶⁸Ga-FAP-RGD,"68Ga-FAP-RGD PET was proven safe and all subjects tolerated the examination well. 68Ga-FAP-RGD had low background signals in salivary glands, thyroid, and pancreas, which was more conducive to lesion detection. Meanwhile, the high uptake in the kidneys may also interfere with the diagnosis of renal disease.As for the diagnostic performance, we found that 68Ga-FAP-RGD PET was able to detect multiple occult lesions in several cancer types",,"vital signs (e.g., blood pressure, respiration, heart rate, temperature)",No adverse events were observed within 4 h after tracer injection.,,
HU0008,RDC00164,38276986,10.1007/s00259-024-06623-y,NCT05515783,Cancer diagnosis (various types),3 healthy volunteers + 3 cancer patients,Single dose,2.3–3.7 MBq/kg,Imaging potential,,Imaging potential of ⁶⁸Ga-FAP-RGD,"As for the diagnostic performance, we found that 68Ga-FAP-RGD PET was able to detect multiple occult lesions in several cancer types",,,,,
HU0009,RDC00185,29053416,10.1089/cbr.2017.2233,,"Lung cancer, brain tumors (glioblastoma, anaplastic astrocytoma, meningioma)","12 (5 lung cancer, 7 brain tumors)",Single administration,260–740 MBq,Safety,,To evaluate the safety,None of the patients experienced an adverse event associated with 99mTc-IDA-D-[c(RGDfK)]2 injection.,,"Safety assessment included adverse event reporting and assessments of general appearance, vital signs, ECG, as well as physical and neurological examinations.",None of the patients experienced an adverse event associated with 99mTc-IDA-D-[c(RGDfK)]2 injection.,,
HU0010,RDC00185,29053416,10.1089/cbr.2017.2233,,"Lung cancer, brain tumors (glioblastoma, anaplastic astrocytoma, meningioma)","12 (5 lung cancer, 7 brain tumors)",Single administration,260–740 MBq,Imaging potential,,To evaluate the imaging potential,All lesions were well visualized on 99mTc-IDA-D-[c(RGDfK)]2 SPECT images,,,,,
