in_vitro_id,drug_id,pmid,doi,study_overview,created_at,updated_at,,,,
VI00100,RDC00100,40540027,10.1007/s00259-025-07408-7,,,,,,,
VI00101,RDC00101,34559266,10.1007/s00259-021-05559-x,,,,,,,
VI00102,RDC00102,21247151,10.1021/mp100403y,,,,,,,
VI00103,RDC00103,21247151,10.1021/mp100403y,,,,,,,
VI00104,RDC00104,21247151,10.1021/mp100403y,,,,,,,
VI00105,RDC00105,21247151,10.1021/mp100403y,,,,,,,
VI00106,RDC00106,40083181,10.1021/acs.jmedchem.4c03007,,,,,,,
VI00107,RDC00107,40083181,10.1021/acs.jmedchem.4c03007,,,,,,,
VI00110,RDC00110,40083181,10.1021/acs.jmedchem.4c03007,,,,,,,
VI00111,RDC00111,36207137,10.2967/jnumed.122.264749,,,,,,,
VI00112,RDC00112,36207137,10.2967/jnumed.122.264749,,,,,,,
VI00113,RDC00113,36207137,10.2967/jnumed.122.264749,,,,,,,
VI00114,RDC00114,36207137,10.2967/jnumed.122.264749,,,,,,,
VI00115,RDC00115,21487838,10.1007/s00259-011-1778-0,,,,,,,
VI00116,RDC00116,21487838,10.1007/s00259-011-1778-0,,,,,,,
VI00117,RDC00117,17574975,10.2967/jnumed.107.039859,,,,,,,
VI00118,RDC00118,17574975,10.2967/jnumed.107.039859,,,,,,,
VI00119,RDC00119,31829615,10.1021/acs.molpharmaceut.9b01134,,,,,,,
VI00120,RDC00120,34571954,10.3390/cells10092305,,,,,,,
VI00121,RDC00121,34571954,10.3390/cells10092305,,,,,,,
VI00122,RDC00122,17341108,10.1021/bc0603081,,,,,,,
VI00123,RDC00123,32514725,10.1007/s12149-020-01483-6,,,,,,,
VI00124,RDC00124,19360404,10.1007/s00259-009-1123-z,,,,,,,
VI00127,RDC00127,39926504,10.1021/acsomega.4c10621,,,,,,,
VI00128,RDC00128,39926504,10.1021/acsomega.4c10621,,,,,,,
VI00129,RDC00129,32898323,10.1002/ctm2.157,,,,,,,
VI00131,RDC00131,19484236,10.1007/s00259-009-1166-1,,,,,,,
VI00132,RDC00132,30533490,10.1007/s41048-018-0071-1,,,,,,,
VI00133,RDC00133,35674464,10.1021/acs.molpharmaceut.2c00313,,,,,,,
VI00134,RDC00134,35993583,10.1021/acs.molpharmaceut.2c00349,,,,,,,
VI00135,RDC00135,31740201,10.1016/j.bmc.2019.115189,,,,,,,
VI00136,RDC00136,31740201,10.1016/j.bmc.2019.115189,,,,,,,
VI00137,RDC00137,34137602,10.1021/acs.bioconjchem.1c00296,,,,,,,
VI00138,RDC00138,34137602,10.1021/acs.bioconjchem.1c00296,,,,,,,
VI00139,RDC00139,12414640,,,,,,,,
VI00140,RDC00140,12414640,,,,,,,,
VI00142,RDC00142,12414640,,,,,,,,
