in_vitro_ref_id,measurement_category,measurement_type,measurement_symbols,measurement_value,measurement_unit,method_description,created_at,updated_at
VI00101,Partition_coefficient,Log D₇.₄,=,​-2.1 ± 0.1​,,"The n-octanol/PBS partitioning method for logD₇.₄ determination: Dilute 50 μl radiotracer (75–300 kBq/ml) to 500 μl with pH 7.4 PBS, mix with equal n-octanol, vortex 3 min, centrifuge at 10,000×g for 6 min. Collect 100 μl from each phase, perform γ-counting, calculate lg (octanol/PBS counts). Run in quadruplicate, express as mean ± SD.",,
VI00101,Affinity,IC50,=,0.030±0.074,nM,Previously described protocols were followed for determination of integrin affinities by ELISA on immobilized integrins.,,
VI00115,Partition_coefficient,logD,=,-3.6,,"[68Ga]NODAGA-RGD (1 MBq/ml) was incubated in fresh human serum at 37°C for 30, 60, 120, and 180 min to conduct protein binding studies. The mixture was then processed through a size exclusion spin column, and protein binding was quantified by measuring the radioactivity retained on the column and in the eluate using a gamma counter.",,
VI00115,Affinity,IC50,=,4.7±1.6,nM,"96-well plates were coated with αvβ3 integrins and incubated with a mixture of 125I-echistatin and gradient concentrations of the target peptide. Unbound radioligand was removed by washing, and receptor-bound radioactivity was eluted from the plates with 2 M sodium hydroxide solution.",,
VI00119,Partition_coefficient,logD,=,-3.58±0.29,,"1.0 mL PBS (pH 7.4) and 1.0 mL 1-octanol were mixed. Then, 5 uL of 68Ga-NGR-RGD (740 kBq), 68Ga-RGD (740 kBq) or 68Ga-NGR (740 kBq) was respectively added to the mixed solution. The mixture was then continuously vortexed for 5 min and centrifuged (4000 rpm, 5 min). 100 µL samples of each phase were measured by gamma counter. The partition coefficient was calculated as follows: LogP = Log10 (counts in 1-octanol/counts in PBS).",,
VI00122,Partition_coefficient,logP,=,​-3.29 ± 0.22​,,"Log P was determined by dissolving the radiotracer in equal volumes of n-octanol and 25 mM phosphate buffer (pH 7.4). After mixing and centrifugation, radioactivity in both phases was measured in triplicate with a γ-counter, and the partition coefficient was calculated.",,
VI00123,Partition_coefficient,logP,=,-2.88 ±0.26,,"[67Ga]CG6 or [67Ga]CD6 was added into an equal volume (500 µL:500 µL) mixture of n-octanol and 25 mM phosphate buffer (pH7.4). After vigorous shaKing for 30 minutes, the mixture was centrifuged at 5,000 rpm for 5 minutes. Samples from both n-octanol and aqueous layers were obtained, and their radioactivity was measured. The partition coefficients (Log P-values) were calculated as the average of three independent measurements.",,
VI00123,Affinity,Ki,=,4.4 ± 2.0,nM,The affinity of [natGa]CD6 to αvβ6 integrin was evaluated by competitive binding assay using [125I]IFMDV2 as a radioligand (n = 4). The Ki value of [natGa]CD6 was calculated by using GraphPad Prism 7 .,,
VI00127,Partition_coefficient,logD,=,​-1.99 ± 0.15​,,"The octanol/water partition coeﬃcient was determined as previously described. Brieﬂy, a 50 μL aliquot from a 0.15 MBq/mL stock of the radiotracer was diluted with PBS (450 μL, pH 7.4) and combined with 500 μL of n-octanol in microfuge tubes (n = 4/tracer). After vortexing for 3 min, the tubes were centrifuged (10,000g; 6 min), and 100 μL aliquots of the PBS and noctanol phases were counted in a γ-counter. Data are expressed as mean ± standard deviation.",,
VI00128,Partition_coefficient,logD,=,​-1.71 ± 0.08​,,"The octanol/water partition coeﬃcient was determined as previously described. Brieﬂy, a 50 μL aliquot from a 0.15 MBq/mL stock of the radiotracer was diluted with PBS (450 μL, pH 7.4) and combined with 500 μL of n-octanol in microfuge tubes (n = 4/tracer). After vortexing for 3 min, the tubes were centrifuged (10,000g; 6 min), and 100 μL aliquots of the PBS and noctanol phases were counted in a γ-counter. Data are expressed as mean ± standard deviation.",,
VI00131,Partition_coefficient,logP,=,−3.04±0.13,,"Log P was determined by dissolving the compound in equal volumes (3 mL:3 mL) of n-octanol and 25 mM phosphate buffer (pH 7.4). After vigorous stirring and centrifugation, radioactivity in both layers was measured in triplicate using a γ-counter.",,
VI00147,Partition_coefficient,Log D7.4,=,-2.69±0.19,,"The n-octanol/PBS partitioning method for logD₇.₄ determination: Dilute 50 μl radiotracer (75–300 kBq/ml) to 500 μl with pH 7.4 PBS, mix with equal n-octanol, vortex 3 min, centrifuge at 10,000×g for 6 min. Collect 100 μl from each phase, perform γ-counting, calculate lg (octanol/PBS counts). Run in quadruplicate, express as mean ± SD.",,
VI00147,Affinity,IC50,=,3~7,nM,Competitive binding enzyme-linked immunosorbent assays (ELISAs) for integrins αvβ6 and αvβ3 followed previously described procedures and were analyzed using Prism software.,,
VI00148,Partition_coefficient,Log D7.4,=,-2.20±0.06,,The n-octanol/PBS partitioning method for logD₇.₄ determination,,
VI00148,Affinity,IC50,=,3~7,nM,Competitive binding enzyme-linked immunosorbent assays (ELISAs) for integrins αvβ6 and αvβ3 followed previously described procedures and were analyzed using Prism software.,,
VI00149,Partition_coefficient,LogPO/P,=,−3.41±0.0 4,,The lipophilicity was measured by the “shake-flask” method.,,
VI00149,Affinity,Kd,=,28.4±1.7,nM,"Cells were seeded in 24-well plates (105 cells per well) 24 h ahead of the experiment. Before the experiment, cells were washed with 1 mL HBSS twice and 0.5 mL binding media (HBSS with 0.1 % BSA and 1 mM Mn2+) was added to each well. Then blocKing agent (10 μg corresponding cold peptide for the 64Cu-labeled conjugates) was added to half of the wells as cold block to determine in vitro non-specific binding, followed by 64Cu-labeled conjugates in increased concentra tions. After incubation of samples for 2 h at 4 ◦C, the cells were rinsed with cold binding buffer (1 mL) twice and lysed with 0.5 % SDS solution. The cell lysates were collected and measured in a gamma counter. The protein content of each cell lysate sample was determined by Pierce BCA Protein Assay Kit. The measured radioactivity associated with each cell lysate sample was normalized to the amount of cell protein present (fmol/mg).",,
VI00150,Partition_coefficient,LogPO/P,=,−2.78±0.0 8,,"The lipophilicity was measured by the “shake-flask” method. The 64Cu-labeled conjugate (10 μL) was added to a solution of PBS (500 μL, pH 7.4) and 1-octanol (500 μL). After shook for 30 min to reach equi librium, the resulting mixture was centrifuged for 10 min at 70g. For each phase, an aliquot (10 μL, n =5) was added to a tube and counted in a gamma-counter. Caution: be careful to cross contaminate between the two phases. The partition coefficient was calculated as the average log ratio of the radioactivity (CPM value) in the 1-octanol fraction and PBS fraction",,
VI00150,Affinity,Kd,=,107.9±19.4,nM,"Cells were seeded in 24-well plates (105 cells per well) 24 h ahead of the experiment. Before the experiment, cells were washed with 1 mL HBSS twice and 0.5 mL binding media (HBSS with 0.1 % BSA and 1 mM Mn2+) was added to each well. Then blocKing agent (10 μg corresponding cold peptide for the 64Cu-labeled conjugates) was added to half of the wells as cold block to determine in vitro non-specific binding, followed by 64Cu-labeled conjugates in increased concentra tions. After incubation of samples for 2 h at 4 ◦C, the cells were rinsed with cold binding buffer (1 mL) twice and lysed with 0.5 % SDS solution. The cell lysates were collected and measured in a gamma counter. The protein content of each cell lysate sample was determined by Pierce BCA Protein Assay Kit. The measured radioactivity associated with each cell lysate sample was normalized to the amount of cell protein present (fmol/mg).",,
VI00151,Partition_coefficient,LogPO/P,=,−2.2 6±0.0 1,,"The lipophilicity was measured by the “shake-flask” method. The 64Cu-labeled conjugate (10 μL) was added to a solution of PBS (500 μL, pH 7.4) and 1-octanol (500 μL). After shook for 30 min to reach equi librium, the resulting mixture was centrifuged for 10 min at 70g. For each phase, an aliquot (10 μL, n =5) was added to a tube and counted in a gamma-counter. Caution: be careful to cross contaminate between the two phases. The partition coefficient was calculated as the average log ratio of the radioactivity (CPM value) in the 1-octanol fraction and PBS fraction",,
VI00151,Affinity,Kd,=,182.6±24.1,nM,"Cells were seeded in 24-well plates (105 cells per well) 24 h ahead of the experiment. Before the experiment, cells were washed with 1 mL HBSS twice and 0.5 mL binding media (HBSS with 0.1 % BSA and 1 mM Mn2+) was added to each well. Then blocKing agent (10 μg corresponding cold peptide for the 64Cu-labeled conjugates) was added to half of the wells as cold block to determine in vitro non-specific binding, followed by 64Cu-labeled conjugates in increased concentra tions. After incubation of samples for 2 h at 4 ◦C, the cells were rinsed with cold binding buffer (1 mL) twice and lysed with 0.5 % SDS solution. The cell lysates were collected and measured in a gamma counter. The protein content of each cell lysate sample was determined by Pierce BCA Protein Assay Kit. The measured radioactivity associated with each cell lysate sample was normalized to the amount of cell protein present (fmol/mg).",,
VI00152,Partition_coefficient,logD,=,−2.53 ± 0.01,,"An aliquot (74 kBq) of [68Ga]Ga-DOTA-FAPI-RGD was added into a 15 mL centrifuge tube containing 5 mL PBS (pH =7.4) and 5 mL n-octanol. The mixed solution was shaken at room temperature for 5 min before centrifugation (10000 rpm, 5 min). Three samples were collected from each phase for γ-counter analysis",,
VI00154,Partition_coefficient,logD,=,−2.19 ± 0.03,,"An aliquot (74 kBq) of [68Ga]Ga-DOTA-FAPI-04 was added into a 15 mL centrifuge tube containing 5 mL PBS (pH =7.4) and 5 mL n-octanol. The mixed solution was shaken at room temperature for 5 min before centrifugation (10000 rpm, 5 min). Three samples were collected from each phase for γ-counter analysis",,
VI00160,Partition_coefficient,LogP,=,-2.28 ± 0.05,,The partition coefficient of the radiolabeled compounds was determined in a mixture of PBS (pH 7.4) and n-octanol.,,
VI00161,Partition_coefficient,LogP,=,-2.3±0.01,,"The octanol-water partition coefficient (LogP) was determined by partitioning between 1-octanol and PBS (n=3). BALB/C nude mice were used to establish LS174T, SW620 and HT29 colorectal cancer xenograft models, and radioactivity was measured using a well-type γ counter.",,
VI00162,Partition_coefficient,LogP,=,−2.0 8±0.0 7,,The partition coefficient of the radiolabeled compounds was determined in a mixture of PBS (pH 7.4) and n-octanol based on our previously published papers.,,
VI00162,Affinity,Kd,=,32.60 ± 5.12,nM,In vitro binding affinities were acquired by competitive displacement experiments in A2780 S， each performed in triplicate.,,
VI00162,Affinity,Kd,=,135.4 ± 22.04,nM,"In vitro binding affinities were acquired by competitive displacement experiments in OVCAR-3, each performed in triplicate.",,
VI00163,Partition_coefficient,LogP,=,− 2.17 ± 0.04,,The partition coefficient of the radiolabeled compounds was determined in a mixture of PBS (pH 7.4) and n-octanol based on our previously published papers.,,
VI00163,Affinity,Kd,=,25.23 ± 1.05,nM,In vitro binding affinities were acquired by competitive displacement experiments in A2780 S， each performed in triplicate.,,
VI00163,Affinity,Kd,=,171.6 ± 10.63,nM,"In vitro binding affinities were acquired by competitive displacement experiments in OVCAR-3, each performed in triplicate.",,
VI00164,Partition_coefficient,LogP,=,-1.69 ± 0.14,,"The partition coefficient (logD) of the radiotracer 68Ga-FAP-RGD was determined using a standard n-octanol/water two-phase system, a classic method for evaluating the lipophilic-hydrophilic properties of pharmaceutical and nuclear medicine agents.",,
VI00166,Partition_coefficient,logD(7.4),=,-3.07 ± 0.01,,1-Octanol/water partition assay (pH 7.4) was performed to determine lipophilicity as logD.,,
VI00166,Affinity,IC50,=,1.39 ± 0.12,nM,"In vitro binding affinities were acquired by competitive displacement experiments, each performed in triplicate.",,
VI00167,Partition_coefficient,logD(7.4),=,-3.44 ± 0.08,,The water pH7.4/1-octanol partition coefficient (logD(7.4)) of the developed radiotracers was determined by shake-flask method,,
VI00167,Affinity,IC50,=,1.48 ± 0.29,nM,"The 50% inhibitory concentration (IC50) values for each compound were obtained by nonlinear regression analysis using GraphPad Prism Software (v5.04). Each experiment was performed at least three times, each experiment being performed in triplicate.",,
VI00168,Affinity,IC50,=,190,nM,"Radiolabelling with 68Ga was done as described above, and a solution containing 15 MBq in 1.0 mL was prepared by dilution with distilled H2O. Eleven inhibitor (unlabelled peptide) concentrations were tested to estimate the IC50 value at 0.1, 0.5, 1, 5, 10, 50, 100, 250, 500, 1000, and 5000 nM.",,
VI00169,Affinity,IC50,=,260,nM,"Radiolabelling with 68Ga was done as described above, and a solution containing 15 MBq in 1.0 mL was prepared by dilution with distilled H2O. Eleven inhibitor (unlabelled peptide) concentrations were tested to estimate the IC50 value at 0.1, 0.5, 1, 5, 10, 50, 100, 250, 500, 1000, and 5000 nM.",,
VI00176,Partition_coefficient,Log P,=,-2.97 ± 0.30,,"Approximately 370 kBq of the radiopeptide was dissolved in 500 μL of normal saline and mixed with an equal volume of n-octanol in a centrifuge tube.After mixing at room temperature for 10 min, the mixture was centrifuged at 14,000 rpm for 5 min to achieve phase separation.Aliquots of 100 μL each were taken from the organic phase (n-octanol) and the aqueous phase, and their radioactivities were measured using a γ-counter.The experiment was repeated three times, the partition coefficient was calculated and its logarithm was obtained as the logP value.",,
VI00183,Partition_coefficient,Log P,=,-2.8 ± 0.14,,"The shake-flask method is the gold standard for measuring logP/logD, ideal for assessing hydrophilic/lipophilic properties of peptides, radiolabeled agents and organics.",,
VI00184,Partition_coefficient,Log P,=,-2.1 ± 0.17,,"The shake-flask method is the gold standard for measuring logP/logD, ideal for assessing hydrophilic/lipophilic properties of peptides, radiolabeled agents and organics.",,
VI00192,Partition_coefficient,Log Dₒcₜ/PBS,=,-3.69 ± 0.15,,"1–2 MBq of the radiotracer (dissolved in 5 μl of labeling buffer) was added to a mixed system consisting of 495 μl of pH 7.4 PBS (aqueous phase) and 500 μl of n-octanol (organic phase).The mixture was shaken at room temperature for 30 minutes and then centrifuged at 13,200 rpm for 5 minutes to separate the two phases.100 μl aliquots were taken from each phase, and the radioactivity was measured using a gamma counter. The logarithm of the concentration ratio of the two phases was calculated, .",,
VI00193,Partition_coefficient,Log Dₒcₜ/PBS,=,-3.14 ± 0.12,,"1–2 MBq of the radiotracer (dissolved in 5 μl of labeling buffer) was added to a mixed system consisting of 495 μl of pH 7.4 PBS (aqueous phase) and 500 μl of n-octanol (organic phase).The mixture was shaken at room temperature for 30 minutes and then centrifuged at 13,200 rpm for 5 minutes to separate the two phases.100 μl aliquots were taken from each phase, and the radioactivity was measured using a gamma counter. The logarithm of the concentration ratio of the two phases was calculated.",,
VI00197,Partition_coefficient,logD₇.₄,=,-2.34 ± 0.08,,"1–2 MBq of the radiotracer (dissolved in 5 μL of labeling buffer) was added to a biphasic system containing 495 μL of phosphate-buffered saline (PBS, pH 7.4) as the aqueous phase and 500 μL of n-octanol as the organic phase.The mixture was vortexed/shaken at room temperature for 30 minutes to reach phase equilibrium, then centrifuged at 13,200 rpm for 5 minutes to achieve complete phase separation.100 μL aliquots were sampled from both the aqueous and organic phases, respectively. The radioactivity of each aliquot was quantified using a gamma counter.The octanol/PBS partition coefficient (logD₇.₄) was calculated as the logarithm (base 10) of the ratio of the radiotracer concentration in the n-octanol phase to that in the PBS (pH 7.4) phase. All experiments were performed in triplicate to ensure the reliability of the results.",,
VI00200,Partition_coefficient,Log P,=,-4.8,,This method measures the Ccell​/Cmedium​ partition coefficient of ⁹⁹ᵐTc-labeled RGD/E peptides in HUVE cells at 4°C (to inhibit active transport).,,
VI00204,Partition_coefficient,Log P,=,-3.39±0.52,,"SE HPLC-purified ⁹⁹ᵐTc-RGD or ⁹⁹ᵐTc-RGE was added to HUVE cell suspension (2×10⁶~3×10⁶ cells/mL) in PBS/EBM/EGM medium. After incubation at 4°C for 30 min (to inhibit active transport and non-specific endocytosis), centrifugation was performed at 2000 rpm for 4 min. Radioactivity of 30 μL supernatant and washed cell pellets was measured separately, and the partition coefficient was calculated as their ratio.",,
VI00205,Partition_coefficient,Log P,=,-3.47±0.09,,"Mix equal volumes of n-octanol and buffered aqueous phase, add the analyte and shake thoroughly until phase equilibrium is reached. After separating the two phases, quantify the analyte concentration in each phase via UV-Vis spectroscopy, high-performance liquid chromatography, liquid chromatography-mass spectrometry or other methods. Calculate P as the ratio of the analyte concentration in n-octanol to that in the aqueous phase, then take the base-10 logarithm to obtain logP.",,
