drug_id,reference_id,note,created_at,updated_at
RDC00751,RE00751,,,
RDC00752,RE00751,,,
RDC00754,RE00753,,,
RDC00755,RE00754,,,
RDC00756,RE00754,,,
RDC00757,RE00754,,,
RDC00758,RE00754,,,
RDC00759,RE00755,,,
RDC00760,RE00756,,,
RDC00761,RE00756,,,
RDC00762,RE00756,,,
RDC00763,RE00756,,,
RDC00764,RE00756,,,
RDC00765,RE00757,,,
RDC00766,RE00757,,,
RDC00767,RE00757,,,
RDC00768,RE00757,,,
RDC00769,RE00758,,,
RDC00770,RE00758,,,
RDC00388,RE01485,,,
RDC00030,RE001452,,,
RDC00031,RE001453,,,
RDC00033,RE001454,,,
RDC00034,RE001455,,,
RDC00037,RE001456,,,
RDC00038,RE001457,,,
RDC00044,RE001458,,,
RDC00045,RE001459,,,
RDC00046,RE001460,,,
RDC00049,RE001461,,,
RDC00053,RE001463,,,
RDC00057,RE001465,,,
RDC00058,RE001466,,,
RDC00066,RE001467,,,
RDC00067,RE001468,,,
RDC00069,RE001469,,,
RDC00070,RE001470,,,
RDC00072,RE001471,,,
RDC00076,RE001472,,,
RDC00083,RE001473,,,
RDC00084,RE001474,,,
RDC00085,RE001475,,,
RDC00087,RE001477,,,
RDC00180,RE01594,,,
RDC00093,RE01367,,,
RDC00094,RE01368,,,
RDC00095,RE01368,,,
RDC00096,RE01369,,,
RDC00097,RE01369,,,
RDC00098,RE01370,,,
RDC00099,RE01370,,,
RDC00872,RE01371,,,
RDC00873,RE01371,,,
RDC00874,RE01371,,,
RDC00875,RE01372,,,
RDC00876,RE01372,,,
RDC00877,RE01372,,,
RDC00878,RE01372,,,
RDC00879,RE01372,,,
RDC00880,RE01373,,,
RDC00881,RE01374,,,
RDC00882,RE01374,,,
RDC00883,RE01374,,,
RDC00884,RE01374,,,
RDC00885,RE01374,,,
RDC00886,RE01375,,,
RDC00887,RE01375,,,
RDC00888,RE01375,,,
RDC00889,RE01375,,,
RDC00890,RE01375,,,
RDC00891,RE01375,,,
RDC00892,RE01375,,,
RDC00893,RE01375,,,
RDC00894,RE01375,,,
RDC00895,RE01376,,,
RDC00896,RE01376,,,
RDC00897,RE01377,,,
RDC00898,RE01378,,,
RDC00899,RE01378,,,
RDC00900,RE01378,,,
RDC00901,RE01378,,,
RDC00902,RE01378,,,
RDC00903,RE01379,,,
